Date,Team,Acquired,Relinquished,Notes,Reg_games_missed,Post_games_missed,Season,Year,Game_number,Out_for_season,note_keyword,category
2013-11-01,Charlotte Bobcats,,Al Jefferson,placed on IL with sprained right ankle,75.0,0.0,regular,2013,2.0,False,ankle,lower leg
2013-11-01,Portland Trailblazers,,Victor Claver,placed on IL,,,,,,,roaster move,healthy inactive
2013-11-03,Minnesota Timberwolves,,Ronny Turiaf,placed on IL with fractured right elbow,48.0,0.0,regular,2013,3.0,False,elbow,arm
2013-11-03,Detroit Pistons,,Josh Harrellson,placed on IL,78.0,0.0,regular,2013,3.0,False,roaster move,healthy inactive
2013-11-03,Oklahoma City Thunder,,Ryan Gomes,placed on IL,76.0,0.0,regular,2013,3.0,False,roaster move,healthy inactive
2013-11-04,Cleveland Cavaliers,,Matthew Dellavedova,placed on IL,77.0,0.0,regular,2013,4.0,False,roaster move,healthy inactive
2013-11-05,Detroit Pistons,,Peyton Siva,placed on IL,74.0,0.0,regular,2013,4.0,False,roaster move,healthy inactive
2013-11-05,Toronto Raptors,,Dwight Buycks,placed on IL,77.0,0.0,regular,2013,4.0,False,roaster move,healthy inactive
2013-11-05,Sacramento Kings,,Hamady Ndiaye,placed on IL,75.0,0.0,regular,2013,4.0,False,roaster move,healthy inactive
2013-11-05,Los Angeles Lakers,,Elias Harris,placed on IL (P),76.0,0.0,regular,2013,5.0,False,roaster move,healthy inactive
2013-11-05,Portland Trailblazers,,Joel Freeland,placed on IL with strained left hip,,,,,,,hip,upper leg
2013-11-06,San Antonio Spurs,,Matt Bonner,placed on IL with calf injury,72.0,0.0,regular,2013,5.0,False,calf,lower leg
2013-11-06,Toronto Raptors,,Quincy Acy,placed on IL,75.0,0.0,regular,2013,5.0,False,roaster move,healthy inactive
2013-11-06,Cleveland Cavaliers,,Henry Sims,placed on IL,75.0,0.0,regular,2013,5.0,False,roaster move,healthy inactive
2013-11-06,Milwaukee Bucks,,Luke Ridnour,placed on IL with back injury,74.0,0.0,regular,2013,4.0,False,back,torso
2013-11-07,Miami Heat,,Roger Mason,placed on IL,75.0,0.0,regular,2013,6.0,False,roaster move,healthy inactive
2013-11-07,Los Angeles Lakers,,Ryan Kelly,placed on IL,75.0,0.0,regular,2013,6.0,False,roaster move,healthy inactive
2013-11-08,Toronto Raptors,,Austin Daye,placed on IL,73.0,0.0,regular,2013,6.0,False,roaster move,healthy inactive
2013-11-08,Los Angeles Lakers,,Elias Harris,placed on IL,73.0,0.0,regular,2013,7.0,False,roaster move,healthy inactive
2013-11-08,Portland Trailblazers,,Victor Claver,placed on IL,,,,,,,roaster move,healthy inactive
2013-11-08,New York Knicks,,Tyson Chandler,placed on IL with fractured right fibula,57.0,0.0,regular,2013,5.0,False,fibula,lower leg
2013-11-09,Toronto Raptors,,Aaron Gray,placed on IL,74.0,0.0,regular,2013,7.0,False,roaster move,healthy inactive
2013-11-09,Cleveland Cavaliers,,Andrew Bynum,placed on IL,74.0,0.0,regular,2013,7.0,False,roaster move,healthy inactive
