Date,Team,Relinquished,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category
2013-11-05,Indiana Pacers,George Hill,sore left hip (DNP),1.0,0.0,regular,2013,4,,hip,upper leg
2013-11-05,Phoenix Suns,Goran Dragic,sprained left ankle (DNP),1.0,0.0,regular,2013,4,,ankle,lower leg
2013-11-05,Utah Jazz,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP),1.0,0.0,regular,2013,4,,heel,foot
2013-11-05,Atlanta Hawks,Gustavo Ayon,strained right rotator cuff (DNP),1.0,0.0,regular,2013,4,,shoulder,torso
2013-11-05,Denver Nuggets,Anthony Randolph,sprained left ankle (DNP),1.0,0.0,regular,2013,3,,ankle,lower leg
2013-11-06,Washington Wizards,Trevor Booker,finger injury (DNP),1.0,0.0,regular,2013,4,,finger,hand
2013-11-06,Phoenix Suns,Goran Dragic,sprained left ankle (DNP),1.0,0.0,regular,2013,5,,ankle,lower leg
2013-11-06,Phoenix Suns,Alex Len,left ankle injury (DNP),1.0,0.0,regular,2013,5,,ankle,lower leg
2013-11-06,Indiana Pacers,George Hill,sore left hip (DNP),1.0,0.0,regular,2013,5,,hip,upper leg
2013-11-06,Orlando Magic,Solomon Jones,torn lateral meniscus in left knee (DNP),1.0,0.0,regular,2013,5,,knee,knee
2013-11-06,Orlando Magic,Doron Lamb,sprained right ankle (DNP),1.0,0.0,regular,2013,5,,ankle,lower leg
2013-11-06,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013,5,,ankle,lower leg
2013-11-06,Utah Jazz,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP),1.0,0.0,regular,2013,5,,heel,foot
2013-11-06,Los Angeles Clippers,Matt Barnes,thigh injury (DNP),1.0,0.0,regular,2013,5,,quad,upper leg
2013-11-06,Milwaukee Bucks,Larry Sanders,sprained right thumb (DNP),1.0,0.0,regular,2013,4,,finger,hand
2013-11-06,Milwaukee Bucks,Ersan Ilyasova,sore/aprained right ankle (DNP),1.0,0.0,regular,2013,4,,ankle,lower leg
2013-11-06,Milwaukee Bucks,Brandon Knight,strained right hamstring (DNP),1.0,0.0,regular,2013,4,,hamstring,upper leg
2013-11-06,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013,5,,hamstring,upper leg
2013-11-06,New York Knicks,Tyson Chandler,fractured right fibula (out indefinitely),1.0,0.0,regular,2013,5,,fibula,lower leg
2013-11-07,Los Angeles Clippers,Matt Barnes,thigh injury (DNP),1.0,0.0,regular,2013,6,,quad,upper leg
2013-11-07,Atlanta Hawks,Gustavo Ayon,strained right rotator cuff (DNP),1.0,0.0,regular,2013,5,,shoulder,torso
2013-11-07,Denver Nuggets,Anthony Randolph,sprained left ankle (DNP),1.0,0.0,regular,2013,4,,ankle,lower leg
2013-11-08,Phoenix Suns,Alex Len,left ankle injury (DNP),1.0,0.0,regular,2013,6,,ankle,lower leg
2013-11-08,Washington Wizards,Trevor Booker,finger injury (DNP),1.0,0.0,regular,2013,5,,finger,hand
2013-11-08,Golden State Warriors,Stephen Curry,bruised/sprained left ankle (DNP),1.0,0.0,regular,2013,6,,ankle,lower leg
2013-11-08,Minnesota Timberwolves,Derrick Williams,back spasms (DNP),1.0,0.0,regular,2013,6,,back,torso
2013-11-08,Phoenix Suns,Goran Dragic,sprained left ankle (DNP),1.0,0.0,regular,2013,6,,ankle,lower leg
2013-11-08,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013,6,,ankle,lower leg
2013-11-08,Orlando Magic,Doron Lamb,sprained right ankle (DNP),1.0,0.0,regular,2013,6,,ankle,lower leg
2013-11-08,Los Angeles Lakers,Steve Nash,rest (DNP),1.0,0.0,regular,2013,7,,rest,rest
2013-11-08,Charlotte Bobcats,Steve Clifford,head coach underwent heart procedure (out indefinitely),1.0,0.0,regular,2013,6,,head,head
2013-11-08,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013,6,,hamstring,upper leg
2013-11-08,Philadelphia 76ers,Daniel Orton,sore right knee (DNP),1.0,0.0,regular,2013,6,,knee,knee
2013-11-08,Orlando Magic,Solomon Jones,torn lateral meniscus in left knee (DNP),1.0,0.0,regular,2013,6,,knee,knee
2013-11-09,Orlando Magic,Doron Lamb,sprained right ankle (DNP),1.0,0.0,regular,2013,7,,ankle,lower leg
2013-11-09,Philadelphia 76ers,Daniel Orton,sore right knee (DNP),1.0,0.0,regular,2013,7,,knee,knee
2013-11-09,Philadelphia 76ers,Kwame Brown,strained right hamstring (DNP),1.0,0.0,regular,2013,7,,hamstring,upper leg
2013-11-09,Milwaukee Bucks,Ersan Ilyasova,sore/aprained right ankle (DNP),1.0,0.0,regular,2013,5,,ankle,lower leg
2013-11-09,Milwaukee Bucks,Larry Sanders,sprained right thumb (DNP),1.0,0.0,regular,2013,5,,finger,hand
2013-11-09,Los Angeles Clippers,Matt Barnes,thigh injury (DNP),1.0,0.0,regular,2013,7,,quad,upper leg
2013-11-09,Memphis Grizzlies,Jerryd Bayless,sprained right knee (DNP),1.0,0.0,regular,2013,6,,knee,knee
2013-11-09,Orlando Magic,Solomon Jones,torn lateral meniscus in left knee (DNP),1.0,0.0,regular,2013,7,,knee,knee
2013-11-09,Orlando Magic,Tobias Harris,sprained left ankle (DNP),1.0,0.0,regular,2013,7,,ankle,lower leg
