Date,Team,Player,Notes,reg_games_missed,post_games_missed,Season,Year,Game_number,Out_for_Season,note_keyword,category,Acquired,Reg_games_missed,Post_games_missed,Out_for_season,Pos,Age,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
2013-11-04,Golden State Warriors,Harrison Barnes,left toe inflammation (DNP),1.0,0.0,regular,2013.0,4,,toe,foot,,,,,SF,21.0,78.0,24.0,28.3,93.0,2207.4,2518.2000000000003
2013-11-05,Phoenix Suns,Alex Len,left ankle injury (DNP),1.0,0.0,regular,2013.0,4,,ankle,lower leg,,,,,C,20.0,42.0,3.0,8.6,0.0,361.2,0.0
2013-11-05,Indiana Pacers,George Hill,sore left hip (DNP),1.0,0.0,regular,2013.0,4,,hip,upper leg,,,,,PG,27.0,76.0,76.0,32.0,94.0,2432.0,3307.8
2013-11-05,Phoenix Suns,Goran Dragic,sprained left ankle (DNP),1.0,0.0,regular,2013.0,4,,ankle,lower leg,,,,,SG,27.0,76.0,75.0,35.1,77.0,2667.6,2579.5000000000005
2013-11-05,Utah Jazz,Marvin Williams,recovering from surgery on right heel and Achilles tendon (DNP),1.0,0.0,regular,2013.0,4,,heel,foot,,,,,PF,27.0,66.0,50.0,25.4,73.0,1676.4,1730.1
2013-11-05,Atlanta Hawks,Gustavo Ayon,strained right rotator cuff (DNP),1.0,0.0,regular,2013.0,4,,shoulder,torso,,,,,C,28.0,26.0,14.0,16.5,58.0,429.0,738.4000000000001
2013-11-05,Denver Nuggets,Anthony Randolph,sprained left ankle (DNP),1.0,0.0,regular,2013.0,3,,ankle,lower leg,,,,,PF,24.0,43.0,5.0,12.3,44.0,528.9,357.6
2013-11-06,Washington Wizards,Trevor Booker,finger injury (DNP),1.0,0.0,regular,2013.0,4,,finger,hand,,,,,PF,26.0,72.0,45.0,21.6,48.0,1555.2,887.9999999999998
2013-11-06,Phoenix Suns,Goran Dragic,sprained left ankle (DNP),1.0,0.0,regular,2013.0,5,,ankle,lower leg,,,,,SG,27.0,76.0,75.0,35.1,77.0,2667.6,2579.5000000000005
2013-11-06,Phoenix Suns,Alex Len,left ankle injury (DNP),1.0,0.0,regular,2013.0,5,,ankle,lower leg,,,,,C,20.0,42.0,3.0,8.6,0.0,361.2,0.0
2013-11-06,Indiana Pacers,George Hill,sore left hip (DNP),1.0,0.0,regular,2013.0,5,,hip,upper leg,,,,,PG,27.0,76.0,76.0,32.0,94.0,2432.0,3307.8
2013-11-06,Orlando Magic,Solomon Jones,torn lateral meniscus in left knee (DNP),1.0,0.0,regular,2013.0,5,,knee,knee,,,,,PF,29.0,11.0,0.0,7.7,2.0,84.7,26.0
