Team,Year,Season,Game_num,Date,Away_flag,Opponent,OT_flag
Atlanta Hawks,2012,regular,73,2013-03-29,1.0,Boston Celtics,
Atlanta Hawks,2012,regular,74,2013-03-30,,Orlando Magic,
Atlanta Hawks,2012,regular,75,2013-04-01,,Cleveland Cavaliers,
Atlanta Hawks,2012,regular,76,2013-04-03,,New York Knicks,
Atlanta Hawks,2012,regular,77,2013-04-05,,Philadelphia 76ers,
Atlanta Hawks,2012,regular,78,2013-04-06,1.0,San Antonio Spurs,
Atlanta Hawks,2012,regular,79,2013-04-10,1.0,Philadelphia 76ers,
Atlanta Hawks,2012,regular,80,2013-04-12,,Milwaukee Bucks,
Atlanta Hawks,2012,regular,81,2013-04-16,,Toronto Raptors,
Atlanta Hawks,2012,regular,82,2013-04-17,1.0,New York Knicks,
Atlanta Hawks,2012,post,83,2013-04-21,1.0,Indiana Pacers,
Atlanta Hawks,2012,post,84,2013-04-24,1.0,Indiana Pacers,
Atlanta Hawks,2012,post,85,2013-04-27,,Indiana Pacers,
Atlanta Hawks,2012,post,86,2013-04-29,,Indiana Pacers,
Atlanta Hawks,2012,post,87,2013-05-01,1.0,Indiana Pacers,
Atlanta Hawks,2012,post,88,2013-05-03,,Indiana Pacers,
Atlanta Hawks,2013,regular,1,2013-10-30,1.0,Dallas Mavericks,
Atlanta Hawks,2013,regular,2,2013-11-01,,Toronto Raptors,
Atlanta Hawks,2013,regular,3,2013-11-03,1.0,Los Angeles Lakers,
Atlanta Hawks,2013,regular,4,2013-11-05,1.0,Sacramento Kings,
Atlanta Hawks,2013,regular,5,2013-11-07,1.0,Denver Nuggets,
Atlanta Hawks,2013,regular,6,2013-11-09,,Orlando Magic,
Atlanta Hawks,2013,regular,7,2013-11-11,1.0,Charlotte Bobcats,
Atlanta Hawks,2013,regular,8,2013-11-13,,New York Knicks,
Atlanta Hawks,2013,regular,9,2013-11-15,,Philadelphia 76ers,
Atlanta Hawks,2013,regular,10,2013-11-16,1.0,New York Knicks,
Atlanta Hawks,2013,regular,11,2013-11-19,1.0,Miami Heat,
Atlanta Hawks,2013,regular,12,2013-11-20,,Detroit Pistons,
Atlanta Hawks,2013,regular,13,2013-11-22,1.0,Detroit Pistons,
Atlanta Hawks,2013,regular,14,2013-11-23,,Boston Celtics,
Atlanta Hawks,2013,regular,15,2013-11-26,,Orlando Magic,
Atlanta Hawks,2013,regular,16,2013-11-27,1.0,Houston Rockets,
Atlanta Hawks,2013,regular,17,2013-11-29,,Dallas Mavericks,
Atlanta Hawks,2013,regular,18,2013-11-30,1.0,Washington Wizards,
Atlanta Hawks,2013,regular,19,2013-12-02,1.0,San Antonio Spurs,
Atlanta Hawks,2013,regular,20,2013-12-04,,Los Angeles Clippers,
Atlanta Hawks,2013,regular,21,2013-12-06,,Cleveland Cavaliers,
Atlanta Hawks,2013,regular,22,2013-12-10,,Oklahoma City Thunder,
Atlanta Hawks,2013,regular,23,2013-12-13,,Washington Wizards,OT
Atlanta Hawks,2013,regular,24,2013-12-14,1.0,New York Knicks,
Atlanta Hawks,2013,regular,25,2013-12-16,,Los Angeles Lakers,
Atlanta Hawks,2013,regular,26,2013-12-18,,Sacramento Kings,
Atlanta Hawks,2013,regular,27,2013-12-20,,Utah Jazz,
Atlanta Hawks,2013,regular,28,2013-12-23,1.0,Miami Heat,OT
Atlanta Hawks,2013,regular,29,2013-12-26,1.0,Cleveland Cavaliers,2OT
Atlanta Hawks,2013,regular,30,2013-12-28,,Charlotte Bobcats,OT
Atlanta Hawks,2013,regular,31,2013-12-29,1.0,Orlando Magic,
Atlanta Hawks,2013,regular,32,2013-12-31,1.0,Boston Celtics,
Atlanta Hawks,2013,regular,33,2014-01-03,,Golden State Warriors,
Atlanta Hawks,2013,regular,34,2014-01-04,1.0,Chicago Bulls,
Atlanta Hawks,2013,regular,35,2014-01-06,1.0,Brooklyn Nets,
Atlanta Hawks,2013,regular,36,2014-01-08,,Indiana Pacers,
Atlanta Hawks,2013,regular,37,2014-01-10,,Houston Rockets,
Atlanta Hawks,2013,regular,38,2014-01-12,1.0,Memphis Grizzlies,
Atlanta Hawks,2013,regular,39,2014-01-16,,Brooklyn Nets,
Atlanta Hawks,2013,regular,40,2014-01-20,,Miami Heat,
Atlanta Hawks,2013,regular,41,2014-01-22,1.0,Orlando Magic,
Atlanta Hawks,2013,regular,42,2014-01-24,,San Antonio Spurs,
Atlanta Hawks,2013,regular,43,2014-01-25,1.0,Milwaukee Bucks,
Atlanta Hawks,2013,regular,44,2014-01-27,1.0,Oklahoma City Thunder,
Atlanta Hawks,2013,regular,45,2014-01-31,1.0,Philadelphia 76ers,
Atlanta Hawks,2013,regular,46,2014-02-01,,Minnesota Timberwolves,
Atlanta Hawks,2013,regular,47,2014-02-04,,Indiana Pacers,
Atlanta Hawks,2013,regular,48,2014-02-05,1.0,New Orleans Pelicans,
Atlanta Hawks,2013,regular,49,2014-02-08,,Memphis Grizzlies,
Atlanta Hawks,2013,regular,50,2014-02-11,1.0,Chicago Bulls,
Atlanta Hawks,2013,regular,51,2014-02-12,1.0,Toronto Raptors,
Atlanta Hawks,2013,regular,52,2014-02-18,1.0,Indiana Pacers,
Atlanta Hawks,2013,regular,53,2014-02-19,,Washington Wizards,
Atlanta Hawks,2013,regular,54,2014-02-21,1.0,Detroit Pistons,
Atlanta Hawks,2013,regular,55,2014-02-22,,New York Knicks,
Atlanta Hawks,2013,regular,56,2014-02-25,,Chicago Bulls,
Atlanta Hawks,2013,regular,57,2014-02-26,1.0,Boston Celtics,
Atlanta Hawks,2013,regular,58,2014-03-02,1.0,Phoenix Suns,
Atlanta Hawks,2013,regular,59,2014-03-05,1.0,Portland Trail Blazers,
Atlanta Hawks,2013,regular,60,2014-03-07,1.0,Golden State Warriors,
Atlanta Hawks,2013,regular,61,2014-03-08,1.0,Los Angeles Clippers,
Atlanta Hawks,2013,regular,62,2014-03-10,1.0,Utah Jazz,
Atlanta Hawks,2013,regular,63,2014-03-13,,Milwaukee Bucks,
Atlanta Hawks,2013,regular,64,2014-03-15,,Denver Nuggets,
Atlanta Hawks,2013,regular,65,2014-03-17,1.0,Charlotte Bobcats,
Atlanta Hawks,2013,regular,66,2014-03-18,,Toronto Raptors,OT
Atlanta Hawks,2013,regular,67,2014-03-21,,New Orleans Pelicans,
Atlanta Hawks,2013,regular,68,2014-03-23,1.0,Toronto Raptors,
Atlanta Hawks,2013,regular,69,2014-03-24,,Phoenix Suns,
Atlanta Hawks,2013,regular,70,2014-03-26,1.0,Minnesota Timberwolves,
Atlanta Hawks,2013,regular,71,2014-03-27,,Portland Trail Blazers,
Atlanta Hawks,2013,regular,72,2014-03-29,1.0,Washington Wizards,
Atlanta Hawks,2013,regular,73,2014-03-31,,Philadelphia 76ers,
Atlanta Hawks,2013,regular,74,2014-04-02,,Chicago Bulls,
Atlanta Hawks,2013,regular,75,2014-04-04,,Cleveland Cavaliers,
Atlanta Hawks,2013,regular,76,2014-04-06,1.0,Indiana Pacers,
Atlanta Hawks,2013,regular,77,2014-04-08,,Detroit Pistons,
Atlanta Hawks,2013,regular,78,2014-04-09,,Boston Celtics,
Atlanta Hawks,2013,regular,79,2014-04-11,1.0,Brooklyn Nets,
Atlanta Hawks,2013,regular,80,2014-04-12,,Miami Heat,
Atlanta Hawks,2013,regular,81,2014-04-14,,Charlotte Bobcats,
Atlanta Hawks,2013,regular,82,2014-04-16,1.0,Milwaukee Bucks,
Atlanta Hawks,2013,post,83,2014-04-19,1.0,Indiana Pacers,
Atlanta Hawks,2013,post,84,2014-04-22,1.0,Indiana Pacers,
Atlanta Hawks,2013,post,85,2014-04-24,,Indiana Pacers,
Atlanta Hawks,2013,post,86,2014-04-26,,Indiana Pacers,
Atlanta Hawks,2013,post,87,2014-04-28,1.0,Indiana Pacers,
Atlanta Hawks,2013,post,88,2014-05-01,,Indiana Pacers,
Atlanta Hawks,2013,post,89,2014-05-03,1.0,Indiana Pacers,
Atlanta Hawks,2014,regular,1,2014-10-29,1.0,Toronto Raptors,
Atlanta Hawks,2014,regular,2,2014-11-01,,Indiana Pacers,
Atlanta Hawks,2014,regular,3,2014-11-05,1.0,San Antonio Spurs,
Atlanta Hawks,2014,regular,4,2014-11-07,1.0,Charlotte Hornets,2OT
Atlanta Hawks,2014,regular,5,2014-11-08,,New York Knicks,
Atlanta Hawks,2014,regular,6,2014-11-10,1.0,New York Knicks,
Atlanta Hawks,2014,regular,7,2014-11-12,,Utah Jazz,
Atlanta Hawks,2014,regular,8,2014-11-14,,Miami Heat,
Atlanta Hawks,2014,regular,9,2014-11-15,1.0,Cleveland Cavaliers,
Atlanta Hawks,2014,regular,10,2014-11-18,,Los Angeles Lakers,
Atlanta Hawks,2014,regular,11,2014-11-21,,Detroit Pistons,
Atlanta Hawks,2014,regular,12,2014-11-25,1.0,Washington Wizards,
Atlanta Hawks,2014,regular,13,2014-11-26,,Toronto Raptors,
Atlanta Hawks,2014,regular,14,2014-11-28,,New Orleans Pelicans,
Atlanta Hawks,2014,regular,15,2014-11-29,,Charlotte Hornets,
Atlanta Hawks,2014,regular,16,2014-12-02,,Boston Celtics,
Atlanta Hawks,2014,regular,17,2014-12-03,1.0,Miami Heat,
