Year,Season,Player,Pos,Age,Team,G,GS,MPPG,TGP_prior_seasons,TMP_current_season,TMP_prior_seasons
2012,post,Kevin Durant,SF,24,Oklahoma City Thunder,11,11,44.1,81.0,485.1,3118.5
2012,post,Monta Ellis,SG,27,Milwaukee Bucks,4,4,38.0,82.0,152.0,3075.0
2012,post,Reggie Evans,PF,32,Brooklyn Nets,7,7,29.9,80.0,209.29999999999998,1968.0000000000002
2012,post,Festus Ezeli,C,23,Golden State Warriors,12,3,11.2,78.0,134.39999999999998,1123.1999999999998
2012,post,Kenneth Faried,PF,23,Denver Nuggets,5,4,29.0,80.0,145.0,2248.0
2012,post,Raymond Felton,PG,28,New York Knicks,12,12,37.8,68.0,453.59999999999997,2312.0
2012,post,Derek Fisher,SG,38,Oklahoma City Thunder,11,0,23.7,33.0,260.7,574.1999999999998
2012,post,Evan Fournier,SG,20,Denver Nuggets,4,4,13.3,38.0,53.2,429.40000000000003
2012,post,Francisco Garcia,SF,31,Houston Rockets,6,3,27.3,58.0,163.8,1026.6
2012,post,Kevin Garnett,C,36,Boston Celtics,6,6,35.3,68.0,211.79999999999998,2019.6000000000001
2012,post,Marc Gasol,C,28,Memphis Grizzlies,15,15,40.6,80.0,609.0,2800.0
2012,post,Pau Gasol,PF,32,Los Angeles Lakers,4,4,36.5,49.0,146.0,1656.1999999999998
2012,post,Paul George,SF,22,Indiana Pacers,19,19,41.1,79.0,780.9,2970.4
2012,post,Taj Gibson,PF,27,Chicago Bulls,12,0,17.2,65.0,206.39999999999998,1456.0
2012,post,Manu Ginobili,SG,35,San Antonio Spurs,21,3,26.7,60.0,560.6999999999999,1392.0
2012,post,Andrew Goudelock,SG,24,Los Angeles Lakers,3,2,26.7,1.0,80.1,6.0
2012,post,Danny Green,SG,25,San Antonio Spurs,21,21,31.9,80.0,669.9,2200.0
2012,post,Draymond Green,SF,22,Golden State Warriors,12,1,18.6,79.0,223.20000000000002,1058.6000000000001
2012,post,Gerald Green,SF,27,Indiana Pacers,9,0,11.7,60.0,105.3,1080.0
2012,post,Jeff Green,PF,26,Boston Celtics,6,6,43.0,81.0,258.0,2251.8
2012,post,Willie Green,SG,31,Los Angeles Clippers,3,0,6.7,72.0,20.1,1188.0
2012,post,Blake Griffin,PF,23,Los Angeles Clippers,6,5,26.3,80.0,157.8,2600.0
2012,post,Jordan Hamilton,SF,22,Denver Nuggets,1,0,2.0,40.0,2.0,396.0
2012,post,Richard Hamilton,SG,34,Chicago Bulls,4,0,17.0,50.0,68.0,1090.0
2012,post,Ben Hansbrough,PG,25,Indiana Pacers,6,0,3.7,28.0,22.200000000000003,198.8
2012,post,Tyler Hansbrough,PF,27,Indiana Pacers,19,0,12.7,81.0,241.29999999999998,1368.8999999999999
2012,post,James Harden,SG,23,Houston Rockets,6,6,40.5,78.0,243.0,2987.3999999999996
2012,post,Devin Harris,SG,29,Atlanta Hawks,6,6,37.5,58.0,225.0,1421.0
2012,post,Udonis Haslem,PF,32,Miami Heat,22,19,16.2,75.0,356.4,1417.5
2012,post,John Henson,PF,22,Milwaukee Bucks,4,0,8.3,63.0,33.2,825.3
2012,post,Roy Hibbert,C,26,Indiana Pacers,19,19,36.5,79.0,693.5,2267.2999999999997
2012,post,George Hill,PG,26,Indiana Pacers,18,18,38.1,76.0,685.8000000000001,2622.0
2012,post,Grant Hill,SF,40,Los Angeles Clippers,1,0,20.0,29.0,20.0,437.9
2012,post,Jordan Hill,PF,25,Los Angeles Lakers,3,0,10.3,29.0,30.900000000000002,458.20000000000005
2012,post,Kirk Hinrich,PG,32,Chicago Bulls,4,4,40.5,60.0,162.0,1764.0
2012,post,Ryan Hollins,C,28,Los Angeles Clippers,5,0,7.4,60.0,37.0,666.0
2012,post,Al Horford,C,26,Atlanta Hawks,6,6,36.3,74.0,217.79999999999998,2752.8
2012,post,Dwight Howard,C,27,Los Angeles Lakers,4,4,31.5,76.0,126.0,2720.7999999999997
2012,post,Kris Humphries,PF,27,Brooklyn Nets,7,0,11.9,65.0,83.3,1189.5
2012,post,Serge Ibaka,PF,23,Oklahoma City Thunder,11,11,33.3,80.0,366.29999999999995,2488.0
2012,post,Andre Iguodala,SG,29,Denver Nuggets,6,6,40.5,80.0,243.0,2776.0
2012,post,Ersan Ilyasova,PF,25,Milwaukee Bucks,4,4,29.3,73.0,117.2,2014.8
2012,post,Jarrett Jack,SG,29,Golden State Warriors,12,4,35.5,79.0,426.0,2346.2999999999997
2012,post,Reggie Jackson,PG,22,Oklahoma City Thunder,11,9,33.5,70.0,368.5,994.0
2012,post,LeBron James,PF,28,Miami Heat,23,23,41.7,76.0,959.1,2880.4
2012,post,Antawn Jamison,PF,36,Los Angeles Lakers,4,0,19.8,76.0,79.2,1634.0
2012,post,Richard Jefferson,SF,32,Golden State Warriors,7,0,5.6,56.0,39.199999999999996,565.6
2012,post,John Jenkins,SG,21,Atlanta Hawks,4,0,6.0,61.0,24.0,902.8000000000001
2012,post,Brandon Jennings,PG,23,Milwaukee Bucks,4,4,33.3,80.0,133.2,2896.0
2012,post,Ivan Johnson,PF,28,Atlanta Hawks,6,0,18.0,69.0,108.0,1035.0
2012,post,Joe Johnson,SG,31,Brooklyn Nets,7,7,38.7,72.0,270.90000000000003,2642.4
2012,post,Orlando Johnson,SG,23,Indiana Pacers,12,0,2.3,51.0,27.599999999999998,617.1
2012,post,Dahntay Jones,SF,32,Atlanta Hawks,5,0,3.8,78.0,19.0,1014.0
