,Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
62,Atlanta Hawks,2012,63,"Tue, Mar 12, 2013",@,Miami Heat,
63,Atlanta Hawks,2012,64,"Wed, Mar 13, 2013",,Los Angeles Lakers,
64,Atlanta Hawks,2012,65,"Fri, Mar 15, 2013",,Phoenix Suns,
65,Atlanta Hawks,2012,66,"Sun, Mar 17, 2013",@,Brooklyn Nets,
66,Atlanta Hawks,2012,67,"Mon, Mar 18, 2013",,Dallas Mavericks,
67,Atlanta Hawks,2012,68,"Wed, Mar 20, 2013",,Milwaukee Bucks,
68,Atlanta Hawks,2012,69,"Fri, Mar 22, 2013",,Portland Trail Blazers,
69,Atlanta Hawks,2012,70,"Sun, Mar 24, 2013",@,Milwaukee Bucks,
70,Atlanta Hawks,2012,71,"Mon, Mar 25, 2013",@,Indiana Pacers,
71,Atlanta Hawks,2012,72,"Wed, Mar 27, 2013",@,Toronto Raptors,
72,Atlanta Hawks,2012,73,"Fri, Mar 29, 2013",@,Boston Celtics,
73,Atlanta Hawks,2012,74,"Sat, Mar 30, 2013",,Orlando Magic,
74,Atlanta Hawks,2012,75,"Mon, Apr 1, 2013",,Cleveland Cavaliers,
75,Atlanta Hawks,2012,76,"Wed, Apr 3, 2013",,New York Knicks,
76,Atlanta Hawks,2012,77,"Fri, Apr 5, 2013",,Philadelphia 76ers,
77,Atlanta Hawks,2012,78,"Sat, Apr 6, 2013",@,San Antonio Spurs,
78,Atlanta Hawks,2012,79,"Wed, Apr 10, 2013",@,Philadelphia 76ers,
79,Atlanta Hawks,2012,80,"Fri, Apr 12, 2013",,Milwaukee Bucks,
80,Atlanta Hawks,2012,81,"Tue, Apr 16, 2013",,Toronto Raptors,
81,Atlanta Hawks,2012,82,"Wed, Apr 17, 2013",@,New York Knicks,
82,Atlanta Hawks,2012,83,"Sun, Apr 21, 2013",@,Indiana Pacers,
83,Atlanta Hawks,2012,84,"Wed, Apr 24, 2013",@,Indiana Pacers,
84,Atlanta Hawks,2012,85,"Sat, Apr 27, 2013",,Indiana Pacers,
85,Atlanta Hawks,2012,86,"Mon, Apr 29, 2013",,Indiana Pacers,
86,Atlanta Hawks,2012,87,"Wed, May 1, 2013",@,Indiana Pacers,
87,Atlanta Hawks,2012,88,"Fri, May 3, 2013",,Indiana Pacers,
88,Atlanta Hawks,2013,1,"Wed, Oct 30, 2013",@,Dallas Mavericks,
89,Atlanta Hawks,2013,2,"Fri, Nov 1, 2013",,Toronto Raptors,
90,Atlanta Hawks,2013,3,"Sun, Nov 3, 2013",@,Los Angeles Lakers,
91,Atlanta Hawks,2013,4,"Tue, Nov 5, 2013",@,Sacramento Kings,
92,Atlanta Hawks,2013,5,"Thu, Nov 7, 2013",@,Denver Nuggets,
93,Atlanta Hawks,2013,6,"Sat, Nov 9, 2013",,Orlando Magic,
94,Atlanta Hawks,2013,7,"Mon, Nov 11, 2013",@,Charlotte Bobcats,
95,Atlanta Hawks,2013,8,"Wed, Nov 13, 2013",,New York Knicks,
96,Atlanta Hawks,2013,9,"Fri, Nov 15, 2013",,Philadelphia 76ers,
97,Atlanta Hawks,2013,10,"Sat, Nov 16, 2013",@,New York Knicks,
98,Atlanta Hawks,2013,11,"Tue, Nov 19, 2013",@,Miami Heat,
99,Atlanta Hawks,2013,12,"Wed, Nov 20, 2013",,Detroit Pistons,
100,Atlanta Hawks,2013,13,"Fri, Nov 22, 2013",@,Detroit Pistons,
101,Atlanta Hawks,2013,14,"Sat, Nov 23, 2013",,Boston Celtics,
102,Atlanta Hawks,2013,15,"Tue, Nov 26, 2013",,Orlando Magic,
103,Atlanta Hawks,2013,16,"Wed, Nov 27, 2013",@,Houston Rockets,
104,Atlanta Hawks,2013,17,"Fri, Nov 29, 2013",,Dallas Mavericks,
105,Atlanta Hawks,2013,18,"Sat, Nov 30, 2013",@,Washington Wizards,
106,Atlanta Hawks,2013,19,"Mon, Dec 2, 2013",@,San Antonio Spurs,
107,Atlanta Hawks,2013,20,"Wed, Dec 4, 2013",,Los Angeles Clippers,
108,Atlanta Hawks,2013,21,"Fri, Dec 6, 2013",,Cleveland Cavaliers,
109,Atlanta Hawks,2013,22,"Tue, Dec 10, 2013",,Oklahoma City Thunder,
110,Atlanta Hawks,2013,23,"Fri, Dec 13, 2013",,Washington Wizards,OT
111,Atlanta Hawks,2013,24,"Sat, Dec 14, 2013",@,New York Knicks,
112,Atlanta Hawks,2013,25,"Mon, Dec 16, 2013",,Los Angeles Lakers,
113,Atlanta Hawks,2013,26,"Wed, Dec 18, 2013",,Sacramento Kings,
114,Atlanta Hawks,2013,27,"Fri, Dec 20, 2013",,Utah Jazz,
115,Atlanta Hawks,2013,28,"Mon, Dec 23, 2013",@,Miami Heat,OT
116,Atlanta Hawks,2013,29,"Thu, Dec 26, 2013",@,Cleveland Cavaliers,2OT
117,Atlanta Hawks,2013,30,"Sat, Dec 28, 2013",,Charlotte Bobcats,OT
118,Atlanta Hawks,2013,31,"Sun, Dec 29, 2013",@,Orlando Magic,
119,Atlanta Hawks,2013,32,"Tue, Dec 31, 2013",@,Boston Celtics,
120,Atlanta Hawks,2013,33,"Fri, Jan 3, 2014",,Golden State Warriors,
121,Atlanta Hawks,2013,34,"Sat, Jan 4, 2014",@,Chicago Bulls,
122,Atlanta Hawks,2013,35,"Mon, Jan 6, 2014",@,Brooklyn Nets,
123,Atlanta Hawks,2013,36,"Wed, Jan 8, 2014",,Indiana Pacers,
124,Atlanta Hawks,2013,37,"Fri, Jan 10, 2014",,Houston Rockets,
125,Atlanta Hawks,2013,38,"Sun, Jan 12, 2014",@,Memphis Grizzlies,
126,Atlanta Hawks,2013,39,"Thu, Jan 16, 2014",,Brooklyn Nets,
127,Atlanta Hawks,2013,40,"Mon, Jan 20, 2014",,Miami Heat,
128,Atlanta Hawks,2013,41,"Wed, Jan 22, 2014",@,Orlando Magic,
129,Atlanta Hawks,2013,42,"Fri, Jan 24, 2014",,San Antonio Spurs,
130,Atlanta Hawks,2013,43,"Sat, Jan 25, 2014",@,Milwaukee Bucks,
131,Atlanta Hawks,2013,44,"Mon, Jan 27, 2014",@,Oklahoma City Thunder,
132,Atlanta Hawks,2013,45,"Fri, Jan 31, 2014",@,Philadelphia 76ers,
133,Atlanta Hawks,2013,46,"Sat, Feb 1, 2014",,Minnesota Timberwolves,
134,Atlanta Hawks,2013,47,"Tue, Feb 4, 2014",,Indiana Pacers,
135,Atlanta Hawks,2013,48,"Wed, Feb 5, 2014",@,New Orleans Pelicans,
136,Atlanta Hawks,2013,49,"Sat, Feb 8, 2014",,Memphis Grizzlies,
137,Atlanta Hawks,2013,50,"Tue, Feb 11, 2014",@,Chicago Bulls,
138,Atlanta Hawks,2013,51,"Wed, Feb 12, 2014",@,Toronto Raptors,
139,Atlanta Hawks,2013,52,"Tue, Feb 18, 2014",@,Indiana Pacers,
140,Atlanta Hawks,2013,53,"Wed, Feb 19, 2014",,Washington Wizards,
141,Atlanta Hawks,2013,54,"Fri, Feb 21, 2014",@,Detroit Pistons,
142,Atlanta Hawks,2013,55,"Sat, Feb 22, 2014",,New York Knicks,
143,Atlanta Hawks,2013,56,"Tue, Feb 25, 2014",,Chicago Bulls,
144,Atlanta Hawks,2013,57,"Wed, Feb 26, 2014",@,Boston Celtics,
145,Atlanta Hawks,2013,58,"Sun, Mar 2, 2014",@,Phoenix Suns,
146,Atlanta Hawks,2013,59,"Wed, Mar 5, 2014",@,Portland Trail Blazers,
147,Atlanta Hawks,2013,60,"Fri, Mar 7, 2014",@,Golden State Warriors,
148,Atlanta Hawks,2013,61,"Sat, Mar 8, 2014",@,Los Angeles Clippers,
149,Atlanta Hawks,2013,62,"Mon, Mar 10, 2014",@,Utah Jazz,
150,Atlanta Hawks,2013,63,"Thu, Mar 13, 2014",,Milwaukee Bucks,
151,Atlanta Hawks,2013,64,"Sat, Mar 15, 2014",,Denver Nuggets,
152,Atlanta Hawks,2013,65,"Mon, Mar 17, 2014",@,Charlotte Bobcats,
153,Atlanta Hawks,2013,66,"Tue, Mar 18, 2014",,Toronto Raptors,OT
154,Atlanta Hawks,2013,67,"Fri, Mar 21, 2014",,New Orleans Pelicans,
155,Atlanta Hawks,2013,68,"Sun, Mar 23, 2014",@,Toronto Raptors,
156,Atlanta Hawks,2013,69,"Mon, Mar 24, 2014",,Phoenix Suns,
157,Atlanta Hawks,2013,70,"Wed, Mar 26, 2014",@,Minnesota Timberwolves,
158,Atlanta Hawks,2013,71,"Thu, Mar 27, 2014",,Portland Trail Blazers,
159,Atlanta Hawks,2013,72,"Sat, Mar 29, 2014",@,Washington Wizards,
160,Atlanta Hawks,2013,73,"Mon, Mar 31, 2014",,Philadelphia 76ers,
161,Atlanta Hawks,2013,74,"Wed, Apr 2, 2014",,Chicago Bulls,
162,Atlanta Hawks,2013,75,"Fri, Apr 4, 2014",,Cleveland Cavaliers,
163,Atlanta Hawks,2013,76,"Sun, Apr 6, 2014",@,Indiana Pacers,
164,Atlanta Hawks,2013,77,"Tue, Apr 8, 2014",,Detroit Pistons,
165,Atlanta Hawks,2013,78,"Wed, Apr 9, 2014",,Boston Celtics,
166,Atlanta Hawks,2013,79,"Fri, Apr 11, 2014",@,Brooklyn Nets,
167,Atlanta Hawks,2013,80,"Sat, Apr 12, 2014",,Miami Heat,
168,Atlanta Hawks,2013,81,"Mon, Apr 14, 2014",,Charlotte Bobcats,
169,Atlanta Hawks,2013,82,"Wed, Apr 16, 2014",@,Milwaukee Bucks,
170,Atlanta Hawks,2013,83,"Sat, Apr 19, 2014",@,Indiana Pacers,
171,Atlanta Hawks,2013,84,"Tue, Apr 22, 2014",@,Indiana Pacers,
172,Atlanta Hawks,2013,85,"Thu, Apr 24, 2014",,Indiana Pacers,
173,Atlanta Hawks,2013,86,"Sat, Apr 26, 2014",,Indiana Pacers,
174,Atlanta Hawks,2013,87,"Mon, Apr 28, 2014",@,Indiana Pacers,
175,Atlanta Hawks,2013,88,"Thu, May 1, 2014",,Indiana Pacers,
176,Atlanta Hawks,2013,89,"Sat, May 3, 2014",@,Indiana Pacers,
177,Atlanta Hawks,2014,1,"Wed, Oct 29, 2014",@,Toronto Raptors,
178,Atlanta Hawks,2014,2,"Sat, Nov 1, 2014",,Indiana Pacers,
179,Atlanta Hawks,2014,3,"Wed, Nov 5, 2014",@,San Antonio Spurs,
180,Atlanta Hawks,2014,4,"Fri, Nov 7, 2014",@,Charlotte Hornets,2OT
181,Atlanta Hawks,2014,5,"Sat, Nov 8, 2014",,New York Knicks,
182,Atlanta Hawks,2014,6,"Mon, Nov 10, 2014",@,New York Knicks,
183,Atlanta Hawks,2014,7,"Wed, Nov 12, 2014",,Utah Jazz,
184,Atlanta Hawks,2014,8,"Fri, Nov 14, 2014",,Miami Heat,
185,Atlanta Hawks,2014,9,"Sat, Nov 15, 2014",@,Cleveland Cavaliers,
186,Atlanta Hawks,2014,10,"Tue, Nov 18, 2014",,Los Angeles Lakers,
187,Atlanta Hawks,2014,11,"Fri, Nov 21, 2014",,Detroit Pistons,
188,Atlanta Hawks,2014,12,"Tue, Nov 25, 2014",@,Washington Wizards,
189,Atlanta Hawks,2014,13,"Wed, Nov 26, 2014",,Toronto Raptors,
190,Atlanta Hawks,2014,14,"Fri, Nov 28, 2014",,New Orleans Pelicans,
191,Atlanta Hawks,2014,15,"Sat, Nov 29, 2014",,Charlotte Hornets,
192,Atlanta Hawks,2014,16,"Tue, Dec 2, 2014",,Boston Celtics,
193,Atlanta Hawks,2014,17,"Wed, Dec 3, 2014",@,Miami Heat,
194,Atlanta Hawks,2014,18,"Fri, Dec 5, 2014",@,Brooklyn Nets,
195,Atlanta Hawks,2014,19,"Sun, Dec 7, 2014",,Denver Nuggets,
196,Atlanta Hawks,2014,20,"Mon, Dec 8, 2014",@,Indiana Pacers,
197,Atlanta Hawks,2014,21,"Wed, Dec 10, 2014",,Philadelphia 76ers,
198,Atlanta Hawks,2014,22,"Fri, Dec 12, 2014",,Orlando Magic,
199,Atlanta Hawks,2014,23,"Sat, Dec 13, 2014",@,Orlando Magic,
200,Atlanta Hawks,2014,24,"Mon, Dec 15, 2014",,Chicago Bulls,
201,Atlanta Hawks,2014,25,"Wed, Dec 17, 2014",@,Cleveland Cavaliers,
202,Atlanta Hawks,2014,26,"Sat, Dec 20, 2014",@,Houston Rockets,
203,Atlanta Hawks,2014,27,"Mon, Dec 22, 2014",@,Dallas Mavericks,
204,Atlanta Hawks,2014,28,"Tue, Dec 23, 2014",,Los Angeles Clippers,
205,Atlanta Hawks,2014,29,"Fri, Dec 26, 2014",,Milwaukee Bucks,
206,Atlanta Hawks,2014,30,"Sat, Dec 27, 2014",@,Milwaukee Bucks,
207,Atlanta Hawks,2014,31,"Tue, Dec 30, 2014",,Cleveland Cavaliers,
208,Atlanta Hawks,2014,32,"Fri, Jan 2, 2015",@,Utah Jazz,
209,Atlanta Hawks,2014,33,"Sat, Jan 3, 2015",@,Portland Trail Blazers,
210,Atlanta Hawks,2014,34,"Mon, Jan 5, 2015",@,Los Angeles Clippers,
