Date,Team,Acquired,Relinquished,Notes
2013-11-06,Milwaukee Bucks,,Luke Ridnour,placed on IL with back injury
2013-11-06,Cleveland Cavaliers,Matthew Dellavedova,,activated from IL
2013-11-07,Miami Heat,,Roger Mason,placed on IL
2013-11-07,Los Angeles Lakers,,Ryan Kelly,placed on IL
2013-11-07,Los Angeles Lakers,Elias Harris,,activated from IL
2013-11-08,Los Angeles Lakers,Ryan Kelly,,activated from IL
2013-11-08,Toronto Raptors,Steve Novak,,activated from IL
2013-11-08,Toronto Raptors,,Austin Daye,placed on IL
2013-11-08,Los Angeles Lakers,,Elias Harris,placed on IL
2013-11-08,Portland Trailblazers,,Victor Claver,placed on IL
2013-11-08,New York Knicks,,Tyson Chandler,placed on IL with fractured right fibula
2013-11-08,Portland Trailblazers,Joel Freeland,,activated from IL
2013-11-08,New York Knicks,Cole Aldrich,,activated from IL
2013-11-09,Toronto Raptors,,Aaron Gray,placed on IL
2013-11-09,Cleveland Cavaliers,,Andrew Bynum,placed on IL
2013-11-09,Cleveland Cavaliers,Henry Sims,,activated from IL
2013-11-09,Atlanta Hawks,Gustavo Ayon,,activated from IL
2013-11-09,Miami Heat,,Udonis Haslem,placed on IL with back spasms
2013-11-09,Miami Heat,Roger Mason,,activated from IL
2013-11-09,Nets,,Andrei Kirilenko,placed on IL with back injury
2013-11-09,Nets,Tornike Shengelia,,activated from IL
2013-11-09,Toronto Raptors,Quincy Acy,,activated from IL
2013-11-10,Oklahoma City Thunder,Ryan Gomes,,activated from IL
2013-11-10,Oklahoma City Thunder,,Nick Collison,placed on IL with bruised left hip
2013-11-11,Charlotte Bobcats,,James Southerland,placed on IL
2013-11-11,Charlotte Bobcats,Al Jefferson,,activated from IL
2013-11-11,Cleveland Cavaliers,,Sergey Karasev,placed on IL
2013-11-11,Cleveland Cavaliers,Andrew Bynum,,activated from IL
2013-11-11,Denver Nuggets,,JaVale McGee,placed on IL with stress fracture in left tibia (out for season)
2013-11-11,Detroit Pistons,,Josh Harrellson,placed on IL
2013-11-11,Detroit Pistons,Charlie Villanueva,,activated from IL
2013-11-11,Toronto Raptors,,Steve Novak,placed on IL with back injury
2013-11-11,Toronto Raptors,Aaron Gray,,activated from IL
2013-11-12,Golden State Warriors,,Toney Douglas,placed on IL with stress reaction in left tibia
2013-11-12,Los Angeles Lakers,Elias Harris,,activated from IL
2013-11-12,Miami Heat,,Ray Allen,placed on IL with flu/illness
2013-11-12,Miami Heat,Udonis Haslem,,activated from IL
2013-11-12,Los Angeles Lakers,,Steve Nash,placed on IL with sore back
2013-11-13,Oklahoma City Thunder,Nick Collison,,activated from IL
2013-11-13,Toronto Raptors,Austin Daye,,activated from IL
2013-11-13,Toronto Raptors,,Julyan Stone,placed on IL
2013-11-13,Denver Nuggets,Danilo Gallinari,,activated from IL
2013-11-13,Denver Nuggets,Wilson Chandler,,activated from IL
2013-11-13,Nets,Tyshawn Taylor,,activated from IL
2013-11-13,Charlotte Bobcats,James Southerland,,activated from IL
2013-11-13,Sacramento Kings,Hamady Ndiaye,,activated from IL
2013-11-13,Sacramento Kings,,Ray McCallum,placed on IL
2013-11-13,Cleveland Cavaliers,Sergey Karasev,,activated from IL
2013-11-13,Portland Trailblazers,Victor Claver,,activated from IL
2013-11-13,Portland Trailblazers,,Meyers Leonard,placed on IL with flu
2013-11-13,Nets,,Tornike Shengelia,placed on IL
2013-11-15,Toronto Raptors,,Aaron Gray,placed on IL
2013-11-15,Toronto Raptors,Julyan Stone,,activated from IL
2013-11-15,Detroit Pistons,Peyton Siva,,activated from IL
2013-11-15,San Antonio Spurs,,Nando De,placed on IL
2013-11-15,San Antonio Spurs,Matt Bonner,,activated from IL
2013-11-15,Toronto Raptors,Steve Novak,,activated from IL
2013-11-15,Detroit Pistons,,Chauncey Billups,placed on IL with tendinitis in knee
2013-11-15,Milwaukee Bucks,Luke Ridnour,,activated from IL
2013-11-15,Atlanta Hawks,,John Jenkins,placed on IL
2013-11-15,Charlotte Bobcats,,Al Jefferson,placed on IL with ankle injury
2013-11-15,Milwaukee Bucks,,Larry Sanders,placed on IL recovering from surgery on right thumb to repaor torn ligament
2013-11-15,Atlanta Hawks,Louis Williams,,activated from IL
2013-11-15,Cleveland Cavaliers,,Dion Waiters,placed on IL with illness
2013-11-15,Cleveland Cavaliers,Carrick Felix,,activated from IL
2013-11-16,Nets,Tornike Shengelia,,activated from IL
2013-11-16,New Orleans Pelicans,Ryan Anderson,,activated from IL
2013-11-16,Nets,,Paul Pierce,placed on IL with groin injury
2013-11-16,Nets,,Kevin Garnett,placed on IL with sprained right ankle
2013-11-16,New York Knicks,Chris Smith,,activated from IL
2013-11-16,Oklahoma City Thunder,,Thabo Sefolosha,placed on IL with flu
2013-11-16,Atlanta Hawks,John Jenkins,,activated from IL
2013-11-16,New York Knicks,,Metta World,placed on IL with sore left knee
2013-11-16,Portland Trailblazers,Meyers Leonard,,activated from IL
2013-11-16,New Orleans Pelicans,,Greg Stiemsma,placed on IL with sprained MCL in left knee
2013-11-16,Atlanta Hawks,,Louis Williams,placed on IL
2013-11-16,Cleveland Cavaliers,,Carrick Felix,placed on IL with sports hernia
2013-11-17,Cleveland Cavaliers,,Will Bynum,placed on IL with groin injury
2013-11-17,Detroit Pistons,Josh Harrellson,,activated from IL
2013-11-17,Toronto Raptors,Aaron Gray,,activated from IL
2013-11-17,Toronto Raptors,,Julyan Stone,placed on IL
2013-11-18,Golden State Warriors,,Jermaine ONeal,placed on IL with bruised right knee
2013-11-18,Dallas Mavericks,Shane Larkin,,activated from IL
2013-11-18,Nets,,Brook Lopez,placed on IL with sprained left ankle
2013-11-18,Nets,Kevin Garnett,,activated from IL
2013-11-18,Nets,Paul Pierce,,activated from IL
2013-11-18,Oklahoma City Thunder,,Ryan Gomes,placed on IL
2013-11-18,Oklahoma City Thunder,Thabo Sefolosha,,activated from IL
2013-11-19,Miami Heat,Ray Allen,,activated from IL
2013-11-19,Miami Heat,,Dwyane Wade,placed on IL with sore left knee
2013-11-19,Atlanta Hawks,,Paul Millsap,placed on IL with right elbow tendinitis
2013-11-19,Atlanta Hawks,Louis Williams,,activated from IL
2013-11-20,Golden State Warriors,,Stephen Curry,placed on IL with concussion
2013-11-20,Toronto Raptors,Julyan Stone,,activated from IL
2013-11-20,New York Knicks,Metta World,,activated from IL
2013-11-20,Utah Jazz,Trey Burke,,activated from IL
2013-11-20,Utah Jazz,Jeremy Evans,,activated from IL
2013-11-20,Toronto Raptors,,Aaron Gray,placed on IL
2013-11-20,Atlanta Hawks,Paul Millsap,,activated from IL
2013-11-20,Atlanta Hawks,,John Jenkins,placed on IL
2013-11-20,Cleveland Cavaliers,Dion Waiters,,activated from IL
2013-11-20,Cleveland Cavaliers,,Tyler Zeller,placed on IL with sprained right ankle
2013-11-20,Utah Jazz,,Marvin Williams,placed on IL with fractured nose (surgery)
2013-11-21,Chicago Bulls,,Jimmy Butler,placed on IL with turf toe
2013-11-22,Atlanta Hawks,John Jenkins,,activated from IL
2013-11-22,Toronto Raptors,Austin Daye,,activated from IL (P)
2013-11-22,Toronto Raptors,,Quincy Acy,placed on IL with sprained right ankle
2013-11-22,Toronto Raptors,Julyan Stone,,activated from IL (P)
2013-11-22,Utah Jazz,Marvin Williams,,activated from IL
2013-11-22,Utah Jazz,,Brandon Rush,placed on IL
2013-11-22,Atlanta Hawks,,Louis Williams,placed on IL
2013-11-22,Charlotte Bobcats,,James Southerland,placed on IL
2013-11-22,Cleveland Cavaliers,Carrick Felix,,activated from IL
2013-11-22,Cleveland Cavaliers,,Henry Sims,placed on IL
2013-11-22,Cleveland Cavaliers,,CJ Miles,placed on IL with right calf injury
2013-11-22,Charlotte Bobcats,Al Jefferson,,activated from IL
2013-11-22,Portland Trailblazers,Meyers Leonard,,activated from IL (P)
2013-11-22,Portland Trailblazers,,Victor Claver,placed on IL
2013-11-22,Cleveland Cavaliers,Tyler Zeller,,activated from IL
2013-11-23,Golden State Warriors,Stephen Curry,,activated from IL
2013-11-23,Golden State Warriors,,Andre Iguodala,placed on IL with strained left hamstring
2013-11-23,San Antonio Spurs,Nando De,,activated from IL
2013-11-23,Orlando Magic,Glen Davis,,activated from IL
2013-11-23,San Antonio Spurs,,Boris Diaw,placed on IL with rib injury
2013-11-23,Miami Heat,Dwyane Wade,,activated from IL
2013-11-23,Miami Heat,,Roger Mason,placed on IL
2013-11-23,Atlanta Hawks,Louis Williams,,activated from IL
2013-11-23,Atlanta Hawks,,Elton Brand,placed on IL
2013-11-23,Orlando Magic,,Tobias Harris,placed on IL with sprained left ankle
2013-11-24,Oklahoma City Thunder,,Russell Westbrook,placed on IL with knee injury
2013-11-24,Orlando Magic,Tobias Harris,,activated from IL
2013-11-24,Oklahoma City Thunder,Ryan Gomes,,activated from IL
2013-11-24,Chicago Bulls,,Derrick Rose,placed on IL with torn meniscus in right knee (out for season)
2013-11-24,Orlando Magic,,Kyle OQuinn,placed on IL with sprained right ankle
2013-11-25,Cleveland Cavaliers,Will Bynum,,activated from IL
2013-11-25,Memphis Grizzlies,,Marc Gasol,placed on IL with sprained MCL in left knee
2013-11-25,Miami Heat,,Mario Chalmers,placed on IL with strained hip flexor
2013-11-25,Utah Jazz,,Enes Kanter,placed on IL with sprained right ankle
2013-11-25,Detroit Pistons,,Peyton Siva,placed on IL
2013-11-25,San Antonio Spurs,,Aron Baynes,placed on IL
2013-11-25,San Antonio Spurs,Boris Diaw,,activated from IL
2013-11-26,Washington Wizards,,Bradley Beal,placed on IL with stress injury in right fibula
2013-11-26,Washington Wizards,Chris Singleton,,activated from IL
2013-11-26,Golden State Warriors,Jermaine ONeal,,activated from IL
2013-11-26,Golden State Warriors,,Ognjen Kuzmic,placed on IL with fractured right hand
2013-11-26,Toronto Raptors,,Austin Daye,placed on IL
2013-11-26,Orlando Magic,Kyle OQuinn,,activated from IL
2013-11-26,Orlando Magic,,Tobias Harris,placed on IL with left ankle injury
2013-11-27,Oklahoma City Thunder,,Ryan Gomes,placed on IL
2013-11-27,San Antonio Spurs,Aron Baynes,,activated from IL
2013-11-27,San Antonio Spurs,,Nando De,placed on IL
2013-11-27,Oklahoma City Thunder,Russell Westbrook,,activated from IL
2013-11-27,Miami Heat,,Shane Battier,placed on IL
2013-11-27,Atlanta Hawks,Elton Brand,,activated from IL
2013-11-27,Atlanta Hawks,,Louis Williams,placed on IL
2013-11-27,Miami Heat,Mario Chalmers,,activated from IL
2013-11-29,Nets,,Jason Terry,placed on IL with bruised left knee
2013-11-29,San Antonio Spurs,,Tony Parker,placed on IL with sprained ankle
2013-11-29,Toronto Raptors,Quincy Acy,,activated from IL
2013-11-29,San Antonio Spurs,Nando De,,activated from IL
2013-11-29,Toronto Raptors,,Aaron Gray,placed on IL (P)
2013-11-29,Detroit Pistons,Peyton Siva,,activated from IL
2013-11-29,New Orleans Pelicans,Darius Miller,,activated from IL
2013-11-29,New Orleans Pelicans,,Jeff Withey,placed on IL
2013-11-29,Nets,Brook Lopez,,activated from IL
2013-11-29,Utah Jazz,Enes Kanter,,activated from IL
2013-11-29,Cleveland Cavaliers,,Will Bynum,placed on IL with strained left hip
2013-11-29,Utah Jazz,Andris Biedrins,,activated from IL
2013-11-29,Utah Jazz,,Mike Harris,placed on IL
2013-11-29,Utah Jazz,,Ian Clark,placed on IL
2013-11-29,Miami Heat,Shane Battier,,activated from IL
2013-11-29,Miami Heat,,Roger Mason,placed on IL (P)
2013-11-29,Atlanta Hawks,Louis Williams,,activated from IL
2013-11-29,Atlanta Hawks,,Kyle Korver,placed on IL with bruised ribs
2013-11-29,Charlotte Bobcats,James Southerland,,activated from IL
2013-11-29,Charlotte Bobcats,,Michael Kidd-Gilchrist,placed on IL with foot injury
2013-11-29,Utah Jazz,Brandon Rush,,activated from IL
2013-11-30,Phoenix Suns,,Alex Len,placed on IL with left ankle injury
2013-11-30,San Antonio Spurs,Tony Parker,,activated from IL
2013-11-30,San Antonio Spurs,,Nando De,placed on IL
2013-11-30,Cleveland Cavaliers,CJ Miles,,activated from IL
2013-11-30,Cleveland Cavaliers,,Earl Clark,placed on IL with illness
2013-11-30,Cleveland Cavaliers,,Carrick Felix,placed on IL
2013-11-30,Cleveland Cavaliers,Henry Sims,,activated from IL
2013-12-01,Charlotte Bobcats,,James Southerland,placed on IL
2013-12-01,Charlotte Bobcats,Michael Kidd-Gilchrist,,activated from IL
2013-12-01,Sacramento Kings,,Hamady Ndiaye,placed on IL
2013-12-01,Sacramento Kings,Ray McCallum,,activated from IL
2013-12-02,New Orleans Pelicans,,Anthony Davis,placed on IL with fractured left hand
2013-12-02,New Orleans Pelicans,Jeff Withey,,activated from IL
2013-12-03,Toronto Raptors,Aaron Gray,,activated from IL
2013-12-03,Oklahoma City Thunder,Ryan Gomes,,activated from IL
2013-12-03,Toronto Raptors,,Dwight Buycks,placed on IL
2013-12-03,Sacramento Kings,Hamady Ndiaye,,activated from IL
2013-12-03,Sacramento Kings,,DeMarcus Cousins,placed on IL with ankle injury
2013-12-03,Miami Heat,Roger Mason,,activated from IL
2013-12-03,Miami Heat,,Dwyane Wade,placed on IL with illness/flu
2013-12-04,Cleveland Cavaliers,Earl Clark,,activated from IL
2013-12-04,Atlanta Hawks,Kyle Korver,,activated from IL
2013-12-04,Utah Jazz,,Jeremy Evans,placed on IL with flu
2013-12-04,Utah Jazz,,Marvin Williams,placed on IL with heel injury
2013-12-04,Utah Jazz,Ian Clark,,activated from IL
2013-12-04,Utah Jazz,Mike Harris,,activated from IL
2013-12-06,Washington Wizards,,Kevin Seraphin,placed on IL with knee injury
2013-12-06,Toronto Raptors,Austin Daye,,activated from IL
2013-12-06,Toronto Raptors,,Aaron Gray,placed on IL
2013-12-06,Sacramento Kings,DeMarcus Cousins,,activated from IL
2013-12-06,Washington Wizards,Otto Porter,,activated from IL
2013-12-06,Utah Jazz,,Ian Clark,placed on IL
2013-12-06,Charlotte Bobcats,James Southerland,,activated from IL
2013-12-06,Charlotte Bobcats,,Michael Kidd-Gilchrist,placed on IL with fractured left hand
2013-12-06,Utah Jazz,Jeremy Evans,,activated from IL
2013-12-07,Miami Heat,,Michael Beasley,placed on IL with strained left hamstring
2013-12-07,Miami Heat,Dwyane Wade,,activated from IL
2013-12-07,Utah Jazz,,Derrick Favors,placed on IL with sore lower back
2013-12-07,Utah Jazz,Ian Clark,,activated from IL
2013-12-07,Sacramento Kings,,Ray McCallum,placed on IL
2013-12-08,Toronto Raptors,Dwight Buycks,,activated from IL
2013-12-08,Toronto Raptors,,Tyler Hansbrough,placed on IL with sprained left shoulder
2013-12-08,Miami Heat,Michael Beasley,,activated from IL
2013-12-08,Miami Heat,,Dwyane Wade,placed on IL with resting knees
2013-12-08,Los Angeles Lakers,Kobe Bryant,,activated from IL
2013-12-09,Sacramento Kings,Ray McCallum,,activated from IL
2013-12-09,Golden State Warriors,Toney Douglas,,activated from IL
2013-12-09,Washington Wizards,,Al Harrington,placed on IL recovering from arthroscopic surgery on right knee
2013-12-09,Washington Wizards,Kevin Seraphin,,activated from IL
2013-12-10,San Antonio Spurs,,Tiago Splitter,placed on IL with left calf injury
2013-12-10,Oklahoma City Thunder,,Thabo Sefolosha,placed on IL with sprained right knee
2013-12-10,Detroit Pistons,Chauncey Billups,,activated from IL
2013-12-10,Detroit Pistons,,Rodney Stuckey,placed on IL with knee injury
2013-12-10,Miami Heat,Dwyane Wade,,activated from IL
2013-12-10,Miami Heat,,Michael Beasley,placed on IL with strained left hamstring
2013-12-11,Los Angeles Clippers,,JJ Redick,placed on IL with fractured right hand
2013-12-11,Utah Jazz,,Mike Harris,placed on IL
2013-12-11,Utah Jazz,Derrick Favors,,activated from IL
2013-12-11,Utah Jazz,Marvin Williams,,activated from IL
2013-12-11,Detroit Pistons,,Chauncey Billups,placed on IL
2013-12-11,Detroit Pistons,Rodney Stuckey,,activated from IL
2013-12-13,Golden State Warriors,,Jermaine ONeal,placed on IL recovering from arthroscopic surgery on right wrist to repair torn ligament
2013-12-13,Los Angeles Lakers,Ryan Kelly,,activated from IL
2013-12-13,Toronto Raptors,,Chuck Hayes,placed on IL with irregular heartbeat
2013-12-13,Toronto Raptors,,Austin Daye,placed on IL
2013-12-13,Detroit Pistons,Chauncey Billups,,activated from IL
2013-12-13,Toronto Raptors,Tyler Hansbrough,,activated from IL
2013-12-13,Orlando Magic,Tobias Harris,,activated from IL
2013-12-13,Orlando Magic,,Solomon Jones,placed on IL
2013-12-13,Atlanta Hawks,,Gustavo Ayon,placed on IL
2013-12-13,Chicago Bulls,Jimmy Butler,,activated from IL
2013-12-13,Detroit Pistons,,Peyton Siva,placed on IL
2013-12-14,San Antonio Spurs,,Malcolm Thomas,placed on IL
2013-12-14,Toronto Raptors,Austin Daye,,activated from IL
2013-12-14,Dallas Mavericks,Brandan Wright,,activated from IL
2013-12-14,Toronto Raptors,,Julyan Stone,placed on IL
2013-12-14,Utah Jazz,Mike Harris,,activated from IL
2013-12-14,Cleveland Cavaliers,,Tyler Zeller,placed on IL with sprained right ankle
2013-12-14,Dallas Mavericks,,Dirk Nowitzki,placed on IL with illness
2013-12-15,Cleveland Cavaliers,Will Bynum,,activated from IL
2013-12-15,Detroit Pistons,,Tony Mitchell,placed on IL
2013-12-15,Oklahoma City Thunder,,Ryan Gomes,placed on IL
2013-12-15,Oklahoma City Thunder,Thabo Sefolosha,,activated from IL
2013-12-16,Washington Wizards,,Nene Nene,placed on IL with right foot tendinitis
2013-12-16,Washington Wizards,Bradley Beal,,activated from IL
2013-12-16,San Antonio Spurs,Tiago Splitter,,activated from IL
2013-12-16,San Antonio Spurs,,Nando De,placed on IL
2013-12-16,Detroit Pistons,Tony Mitchell,,activated from IL
2013-12-16,Detroit Pistons,,Chauncey Billups,placed on IL
2013-12-17,Cleveland Cavaliers,,Henry Sims,placed on IL
2013-12-17,Cleveland Cavaliers,Tyler Zeller,,activated from IL
2013-12-17,Memphis Grizzlies,,Quincy Pondexter,placed on IL with stress fracture in right foot (out for season)
2013-12-17,Golden State Warriors,Andre Iguodala,,activated from IL
2013-12-18,Washington Wizards,,Glen Rice,placed on IL recovering from surgery on fractured right wrist
2013-12-18,Washington Wizards,Nene Nene,,activated from IL
