Date,Team,Acquired,Relinquished,Notes
2016-03-02,San Antonio Spurs,Matt Bonner,,activated from IL
2016-03-02,Washington Wizards,Nene Nene,,activated from IL
2016-03-02,Los Angeles Lakers,Kobe Bryant,,activated from IL
2016-03-02,Washington Wizards,,Jarell Eddie,placed on IL
2016-03-02,Los Angeles Clippers,Austin Rivers,,activated from IL
2016-03-02,Milwaukee Bucks,Damien Inglis,,activated from IL
2016-03-02,Los Angeles Lakers,,Louis Williams,placed on IL with strained left hamstring
2016-03-02,Milwaukee Bucks,,Steve Novak,placed on IL with sprained MCL in left knee (out for season)
2016-03-03,Dallas Mavericks,,Salah Mejri,placed on IL
2016-03-03,Dallas Mavericks,JaVale McGee,,activated from IL
2016-03-03,Golden State Warriors,,Kevon Looney,placed on IL
2016-03-03,Golden State Warriors,Andre Iguodala,,activated from IL
2016-03-04,Washington Wizards,Jarell Eddie,,activated from IL
2016-03-04,Washington Wizards,,Alan Anderson,placed on IL
2016-03-04,Orlando Magic,Evan Fournier,,activated from IL
2016-03-04,Orlando Magic,,Victor Oladipo,placed on IL with bruised/sore lower back
2016-03-04,Boston Celtics,James Young,,activated from IL
2016-03-04,Los Angeles Lakers,,Kobe Bryant,placed on IL with sore right shoulder
2016-03-04,Philadelphia 76ers,Elton Brand,,activated from IL (P)
2016-03-04,Philadelphia 76ers,,Nik Stauskas,placed on IL with upper respiratory infection
2016-03-04,Los Angeles Lakers,Metta World,,activated from IL
2016-03-05,San Antonio Spurs,Matt Bonner,,activated from IL (P)
2016-03-05,Washington Wizards,Alan Anderson,,activated from IL
2016-03-05,Houston Rockets,Sam Dekker,,activated from IL
2016-03-05,Washington Wizards,,Jarell Eddie,placed on IL
2016-03-05,San Antonio Spurs,Emanuel Ginobili,,activated from IL
2016-03-05,Chicago Bulls,Nikola Mirotic,,activated from IL
2016-03-05,San Antonio Spurs,,LaMarcus Aldridge,placed on IL with migraine headache
2016-03-05,Houston Rockets,,Terrence Jones,placed on IL with illness
2016-03-05,Chicago Bulls,,Cameron Bairstow,placed on IL with back injury
2016-03-05,San Antonio Spurs,,Tim Duncan,placed on IL for rest
2016-03-06,Philadelphia 76ers,,Joel Embiid,placed on IL with foot injury (out for season)
2016-03-06,Philadelphia 76ers,Elton Brand,,activated from IL (P)
2016-03-06,Los Angeles Lakers,,Anthony Brown,placed on IL with stress reaction in right foot (out for season)
2016-03-06,Los Angeles Lakers,Kobe Bryant,,activated from IL
2016-03-06,Dallas Mavericks,,JaVale McGee,placed on IL
2016-03-06,Dallas Mavericks,Salah Mejri,,activated from IL
2016-03-06,Oklahoma City Thunder,,Mitch McGary,placed on IL
2016-03-07,Golden State Warriors,,Andre Iguodala,placed on IL with tightness in left hamstring
2016-03-07,New York Knicks,Cleanthony Early,,activated from IL
2016-03-07,Golden State Warriors,Kevon Looney,,activated from IL
2016-03-07,San Antonio Spurs,Tim Duncan,,activated from IL
2016-03-07,San Antonio Spurs,,Matt Bonner,placed on IL
2016-03-07,San Antonio Spurs,,Rasual Butler,placed on IL
2016-03-07,Orlando Magic,Victor Oladipo,,activated from IL
2016-03-07,San Antonio Spurs,LaMarcus Aldridge,,activated from IL
2016-03-08,Orlando Magic,,Nikola Vucevic,placed on IL with strained right groin
2016-03-08,San Antonio Spurs,,Emanuel Ginobili,placed on IL for rest
2016-03-08,San Antonio Spurs,,Tim Duncan,placed on IL for rest
2016-03-08,San Antonio Spurs,Matt Bonner,,activated from IL
2016-03-08,San Antonio Spurs,Rasual Butler,,activated from IL
2016-03-08,Washington Wizards,,Bradley Beal,placed on IL with sprained pelvis
2016-03-08,Washington Wizards,Jarell Eddie,,activated from IL
2016-03-08,Washington Wizards,Gary Neal,,activated from IL
2016-03-09,Golden State Warriors,Andre Iguodala,,activated from IL
2016-03-09,Oklahoma City Thunder,Mitch McGary,,activated from IL
2016-03-09,Philadelphia 76ers,Nik Stauskas,,activated from IL
2016-03-09,New Orleans Pelicans,,Bryce Dejean-Jones,placed on IL with fractured right wrist (surgery) (out for season)
2016-03-10,San Antonio Spurs,,Jonathon Simmons,placed on IL with illness
2016-03-10,San Antonio Spurs,,Matt Bonner,placed on IL
2016-03-10,San Antonio Spurs,Emanuel Ginobili,,activated from IL
2016-03-10,San Antonio Spurs,Tim Duncan,,activated from IL
2016-03-11,Washington Wizards,,Drew Gooden,placed on IL
2016-03-12,Washington Wizards,,Alan Anderson,placed on IL with ankle injury
2016-03-12,Washington Wizards,Drew Gooden,,activated from IL
2016-03-13,Milwaukee Bucks,,OJ Mayo,placed on IL with fractured right ankle (out for season)
2016-03-13,Los Angeles Lakers,Louis Williams,,activated from IL
2016-03-14,Washington Wizards,,Jarell Eddie,placed on IL
2016-03-14,Charlotte Hornets,Spencer Hawes,,activated from IL
2016-03-14,Washington Wizards,Alan Anderson,,activated from IL
2016-03-14,Washington Wizards,,Drew Gooden,placed on IL
2016-03-14,Washington Wizards,Bradley Beal,,activated from IL
2016-03-14,Houston Rockets,Terrence Jones,,activated from IL
2016-03-14,Chicago Bulls,,Pau Gasol,placed on IL with swelling in right knee
2016-03-14,Golden State Warriors,,Andre Iguodala,placed on IL with sprained left ankle
2016-03-14,Memphis Grizzlies,,PJ Hairston,placed on IL with strained left groin
2016-03-14,Chicago Bulls,Cameron Bairstow,,activated from IL
2016-03-15,Boston Celtics,,Jae Crowder,placed on IL with sprained right ankle
2016-03-15,Los Angeles Lakers,,Kobe Bryant,placed on IL with sore right shoulder
2016-03-16,Boston Celtics,,Jonas Jerebko,placed on IL with sore left ankle
2016-03-16,New York Knicks,,Tony Wroten,placed on IL
2016-03-16,New York Knicks,Louis Amundson,,activated from IL
2016-03-16,Oklahoma City Thunder,,Mitch McGary,placed on IL
2016-03-16,Golden State Warriors,,Kevon Looney,placed on IL with sore right hip
2016-03-16,Washington Wizards,,Alan Anderson,placed on IL with sprained left ankle
2016-03-16,Washington Wizards,Drew Gooden,,activated from IL
2016-03-16,Boston Celtics,Kelly Olynyk,,activated from IL
2016-03-17,San Antonio Spurs,Jonathon Simmons,,activated from IL
2016-03-17,Washington Wizards,Jarell Eddie,,activated from IL
2016-03-17,Washington Wizards,,Bradley Beal,placed on IL with sprained pelvis
2016-03-17,Toronto Raptors,,Jonas Valanciunas,placed on IL
2016-03-17,Indiana Pacers,,Ian Mahinmi,placed on IL with sore lower back
2016-03-17,Toronto Raptors,Bruno Caboclo,,activated from IL
2016-03-18,Philadelphia 76ers,,Richaun Holmes,placed on IL with strained right Achilles tendon (P)
2016-03-18,Toronto Raptors,,James Johnson,placed on IL with left Achilles injury
2016-03-18,Toronto Raptors,Jonas Valanciunas,,activated from IL
2016-03-18,Oklahoma City Thunder,,Serge Ibaka,placed on IL for rest
2016-03-18,Oklahoma City Thunder,Mitch McGary,,activated from IL
2016-03-19,Washington Wizards,Bradley Beal,,activated from IL
2016-03-19,Washington Wizards,Alan Anderson,,activated from IL
2016-03-19,Washington Wizards,,Jarell Eddie,placed on IL
2016-03-19,Washington Wizards,,Drew Gooden,placed on IL
2016-03-19,Indiana Pacers,Ian Mahinmi,,activated from IL
2016-03-19,Oklahoma City Thunder,,Mitch McGary,placed on IL
2016-03-19,Indiana Pacers,,Shayne Whittington,placed on IL
2016-03-19,Oklahoma City Thunder,Serge Ibaka,,activated from IL
2016-03-20,New York Knicks,Cleanthony Early,,activated from IL (P)
2016-03-20,Sacramento Kings,Eric Moreland,,activated from IL
2016-03-20,Toronto Raptors,James Johnson,,activated from IL
2016-03-20,Dallas Mavericks,,Chandler Parsons,placed on IL with sore right hamstring / right knee injury (out for season)
2016-03-20,Dallas Mavericks,JaVale McGee,,activated from IL
2016-03-20,New York Knicks,,Lance Thomas,placed on IL with sprained/strained MCL in left knee (out for season)
2016-03-20,Toronto Raptors,,Patrick Patterson,placed on IL with sore left ankle
2016-03-21,Chicago Bulls,,Cameron Bairstow,placed on IL with back injury
2016-03-21,Chicago Bulls,Pau Gasol,,activated from IL
2016-03-21,Boston Celtics,,Coty Clarke,placed on IL
2016-03-21,Boston Celtics,Jonas Jerebko,,activated from IL
2016-03-21,San Antonio Spurs,,Boban Marjanovic,placed on IL
2016-03-21,San Antonio Spurs,Matt Bonner,,activated from IL
2016-03-21,Washington Wizards,,Alan Anderson,placed on IL with sore ankle
2016-03-21,Washington Wizards,Drew Gooden,,activated from IL
2016-03-22,Oklahoma City Thunder,Josh Huestis,,activated from IL
2016-03-22,Oklahoma City Thunder,,Kyle Singler,placed on IL with sore lower back
2016-03-22,Nets,Rondae Hollis-Jefferson,,activated from IL
2016-03-22,Los Angeles Lakers,Kobe Bryant,,activated from IL
2016-03-22,Los Angeles Lakers,,Ryan Kelly,placed on IL with sprained left wrist
2016-03-22,Nets,,Sergey Karasev,placed on IL
2016-03-23,Portland Trailblazers,,Meyers Leonard,placed on IL with dislocated left shoulder (out for season)
2016-03-23,Portland Trailblazers,Cliff Alexander,,activated from IL
2016-03-23,New York Knicks,,Cleanthony Early,placed on IL
2016-03-23,Houston Rockets,Andrew Goudelock,,activated from IL
2016-03-23,San Antonio Spurs,,Matt Bonner,placed on IL
2016-03-23,San Antonio Spurs,Boban Marjanovic,,activated from IL
2016-03-23,Golden State Warriors,Kevon Looney,,activated from IL
2016-03-23,Houston Rockets,,Montrezl Harrell,placed on IL
2016-03-23,Philadelphia 76ers,Richaun Holmes,,activated from IL
2016-03-24,Nets,,Willie Reed,placed on IL
2016-03-24,Nets,Sergey Karasev,,activated from IL
2016-03-25,San Antonio Spurs,Matt Bonner,,activated from IL
2016-03-25,San Antonio Spurs,,Kawhi Leonard,placed on IL with bruised right quadriceps
2016-03-25,San Antonio Spurs,Jonathon Simmons,,activated from IL (P)
2016-03-25,Toronto Raptors,Patrick Patterson,,activated from IL
2016-03-25,Toronto Raptors,,Terrence Ross,placed on IL with strained left thumb
2016-03-25,San Antonio Spurs,,Boris Diaw,placed on IL for rest
2016-03-26,Cleveland Cavaliers,,Kyrie Irving,placed on IL for rest
2016-03-26,Cleveland Cavaliers,Maurice Williams,,activated from IL
2016-03-26,San Antonio Spurs,,Tim Duncan,placed on IL for rest
2016-03-26,San Antonio Spurs,Boris Diaw,,activated from IL
2016-03-26,Oklahoma City Thunder,Kyle Singler,,activated from IL
2016-03-27,Los Angeles Lakers,,Nick Young,placed on IL with illness
2016-03-27,Los Angeles Lakers,Ryan Kelly,,activated from IL
2016-03-27,Washington Wizards,Jarell Eddie,,activated from IL
2016-03-27,Los Angeles Clippers,Blake Griffin,,activated from IL (CBC)
2016-03-27,Los Angeles Clippers,,Blake Griffin,placed on IL (P)
2016-03-28,Oklahoma City Thunder,Kyle Singler,,activated from IL
2016-03-28,Oklahoma City Thunder,,Josh Huestis,placed on IL
2016-03-28,Denver Nuggets,,Jusuf Nurkic,placed on IL with illness
2016-03-28,Portland Trailblazers,Luis Montero,,activated from IL
2016-03-28,Portland Trailblazers,,Chris Kaman,placed on IL with illness
2016-03-28,Los Angeles Clippers,,Blake Griffin,placed on IL (P)
2016-03-29,Washington Wizards,Markieff Morris,,activated from IL (P)
2016-03-29,Washington Wizards,,Jarell Eddie,placed on IL
2016-03-29,Oklahoma City Thunder,Josh Huestis,,activated from IL
2016-03-29,Oklahoma City Thunder,,Serge Ibaka,placed on IL
2016-03-29,Detroit Pistons,Spencer Dinwiddie,,activated from IL (P)
2016-03-29,Nets,Willie Reed,,activated from IL
2016-03-29,Nets,,Rondae Hollis-Jefferson,placed on IL
2016-03-29,Cleveland Cavaliers,Kyrie Irving,,activated from IL
2016-03-29,Cleveland Cavaliers,,LeBron James,placed on IL
2016-03-29,Detroit Pistons,,Lorenzo Brown,placed on IL
2016-03-30,San Antonio Spurs,Tim Duncan,,activated from IL
2016-03-30,San Antonio Spurs,Kawhi Leonard,,activated from IL
2016-03-30,San Antonio Spurs,,David West,placed on IL for rest
2016-03-30,San Antonio Spurs,,Andre Miller,placed on IL for rest
2016-03-30,Toronto Raptors,,Bruno Caboclo,placed on IL
2016-03-30,Toronto Raptors,Terrence Ross,,activated from IL
2016-03-30,New Orleans Pelicans,,Anthony Davis,placed on IL recovering from surgery on left knee (out for season)
2016-03-30,Los Angeles Lakers,Nick Young,,activated from IL
2016-03-30,Los Angeles Lakers,,Metta World,placed on IL
2016-03-30,Milwaukee Bucks,Greivis Vasquez,,activated from IL
2016-03-30,Milwaukee Bucks,,Michael Carter-Williams,placed on IL with recovering from surgery on left hip to repair torn labrum (out for season)
2016-03-30,New Orleans Pelicans,,Eric Gordon,placed on IL with recovering from surgery to repair fractured right ring finger (out for season)
2016-03-31,Oklahoma City Thunder,,Josh Huestis,placed on IL
2016-03-31,Oklahoma City Thunder,Serge Ibaka,,activated from IL
2016-03-31,Orlando Magic,Nikola Vucevic,,activated from IL
2016-03-31,Orlando Magic,,Shabazz Napier,placed on IL
2016-03-31,Boston Celtics,,James Young,placed on IL
2016-03-31,Cleveland Cavaliers,LeBron James,,activated from IL
2016-03-31,Cleveland Cavaliers,,Sasha Kaun,placed on IL
2016-03-31,Boston Celtics,Jae Crowder,,activated from IL
2016-04-01,New York Knicks,Cleanthony Early,,activated from IL
2016-04-01,Sacramento Kings,Eric Moreland,,activated from IL (P)
2016-04-01,Washington Wizards,,Drew Gooden,placed on IL
2016-04-01,Washington Wizards,Jarell Eddie,,activated from IL
2016-04-01,Nets,,Thaddeus Young,placed on IL
2016-04-01,New York Knicks,,Jose Calderon,placed on IL with bruised right quadriceps (out for season)
2016-04-01,Sacramento Kings,,Marco Belinelli,placed on IL with sore right foot (out for season)
2016-04-01,Nets,Rondae Hollis-Jefferson,,activated from IL
2016-04-02,San Antonio Spurs,David West,,activated from IL
2016-04-02,San Antonio Spurs,Andre Miller,,activated from IL
2016-04-02,San Antonio Spurs,,Matt Bonner,placed on IL
2016-04-02,San Antonio Spurs,,Jonathon Simmons,placed on IL
2016-04-02,Toronto Raptors,,Kyle Lowry,placed on IL
2016-04-02,Denver Nuggets,Jusuf Nurkic,,activated from IL
2016-04-02,Sacramento Kings,,Omri Casspi,placed on IL with sore/strained right hamstring
2016-04-02,Chicago Bulls,Cameron Bairstow,,activated from IL
2016-04-02,Chicago Bulls,,Derrick Rose,placed on IL with bruised left elbow
2016-04-02,Portland Trailblazers,Chris Kaman,,activated from IL
2016-04-02,Portland Trailblazers,,Cliff Alexander,placed on IL (out for season)
2016-04-02,Sacramento Kings,Duje Dukan,,activated from IL
2016-04-03,Orlando Magic,Shabazz Napier,,activated from IL
2016-04-03,Memphis Grizzlies,PJ Hairston,,activated from IL
2016-04-03,Washington Wizards,Drew Gooden,,activated from IL
2016-04-03,Washington Wizards,,JJ Hickson,placed on IL
2016-04-03,Golden State Warriors,Festus Ezeli,,activated from IL
2016-04-03,Orlando Magic,,CJ Watson,placed on IL with sprained left ankle
2016-04-03,Cleveland Cavaliers,,Kyrie Irving,placed on IL with sprained right ankle
2016-04-03,Los Angeles Lakers,,Nick Young,placed on IL
2016-04-03,Charlotte Hornets,,Al Jefferson,placed on IL with bruised right quadriceps
2016-04-03,Los Angeles Clippers,Blake Griffin,,activated from IL
2016-04-03,Los Angeles Clippers,,Paul Pierce,placed on IL with sprained right ankle
2016-04-03,Cleveland Cavaliers,Sasha Kaun,,activated from IL
2016-04-03,Los Angeles Lakers,Metta World,,activated from IL
2016-04-05,Golden State Warriors,Andre Iguodala,,activated from IL
2016-04-05,Golden State Warriors,,Ian Clark,placed on IL
2016-04-05,San Antonio Spurs,Matt Bonner,,activated from IL
2016-04-05,San Antonio Spurs,,Boris Diaw,placed on IL with sore right adductor
2016-04-05,Toronto Raptors,Kyle Lowry,,activated from IL
2016-04-05,Los Angeles Lakers,,Larry Nance,placed on IL
2016-04-05,Los Angeles Lakers,Nick Young,,activated from IL
2016-04-05,Charlotte Hornets,,Nicolas Batum,placed on IL with strained left knee
2016-04-05,Cleveland Cavaliers,Kyrie Irving,,activated from IL
2016-04-05,Cleveland Cavaliers,,Sasha Kaun,placed on IL
2016-04-05,Chicago Bulls,Derrick Rose,,activated from IL
2016-04-05,Chicago Bulls,,ETwaun Moore,placed on IL with left hamstring injury
2016-04-05,Charlotte Hornets,Al Jefferson,,activated from IL
2016-04-06,Indiana Pacers,Shayne Whittington,,activated from IL
2016-04-06,Los Angeles Clippers,,Austin Rivers,placed on IL with ankle injury / rest
2016-04-06,Boston Celtics,James Young,,activated from IL
2016-04-06,Los Angeles Clippers,,Wesley Johnson,placed on IL with foot injury / rest
2016-04-06,Washington Wizards,JJ Hickson,,activated from IL
2016-04-06,Washington Wizards,,John Wall,placed on IL with sore/swollen right knee (out for season)
2016-04-06,Oklahoma City Thunder,Josh Huestis,,activated from IL
2016-04-06,Oklahoma City Thunder,,Andre Roberson,placed on IL
2016-04-06,Indiana Pacers,,Ty Lawson,placed on IL with upper respiratory infection
2016-04-06,Boston Celtics,,Evan Turner,placed on IL with eye injury
2016-04-06,Orlando Magic,CJ Watson,,activated from IL
2016-04-06,Orlando Magic,,Shabazz Napier,placed on IL
2016-04-06,Los Angeles Lakers,Larry Nance,,activated from IL
2016-04-06,Los Angeles Lakers,,Nick Young,placed on IL (out for season)
2016-04-06,Los Angeles Clippers,Paul Pierce,,activated from IL
2016-04-06,Los Angeles Clippers,Branden Dawson,,activated from IL
2016-04-06,Cleveland Cavaliers,Sasha Kaun,,activated from IL
2016-04-06,Cleveland Cavaliers,,LeBron James,placed on IL for rest
2016-04-06,Nets,,Brook Lopez,placed on IL for rest (out for season)
2016-04-07,Golden State Warriors,Ian Clark,,activated from IL
2016-04-07,Golden State Warriors,,James Michael,placed on IL
2016-04-07,San Antonio Spurs,Jonathon Simmons,,activated from IL
2016-04-07,San Antonio Spurs,,Boban Marjanovic,placed on IL
2016-04-07,Toronto Raptors,DeMarre Carroll,,activated from IL
2016-04-07,Toronto Raptors,,James Johnson,placed on IL
2016-04-07,Sacramento Kings,Omri Casspi,,activated from IL
2016-04-07,Sacramento Kings,,Duje Dukan,placed on IL
2016-04-08,Detroit Pistons,Lorenzo Brown,,activated from IL
2016-04-08,Washington Wizards,Alan Anderson,,activated from IL
2016-04-08,Washington Wizards,,Drew Gooden,placed on IL
2016-04-08,San Antonio Spurs,Boban Marjanovic,,activated from IL
2016-04-08,San Antonio Spurs,,Emanuel Ginobili,placed on IL for rest
2016-04-08,Toronto Raptors,James Johnson,,activated from IL
2016-04-08,Toronto Raptors,Bruno Caboclo,,activated from IL
2016-04-08,Toronto Raptors,,DeMarre Carroll,placed on IL for rest
2016-04-08,Toronto Raptors,,DeMar DeRozan,placed on IL for rest
2016-04-08,Charlotte Hornets,Nicolas Batum,,activated from IL
2016-04-08,Indiana Pacers,,Shayne Whittington,placed on IL
2016-04-08,Orlando Magic,Shabazz Napier,,activated from IL
2016-04-08,Orlando Magic,,Aaron Gordon,placed on IL with concussion
2016-04-08,Utah Jazz,Alec Burks,,activated from IL
2016-04-08,Utah Jazz,,Tibor Pleiss,placed on IL
2016-04-08,Charlotte Hornets,,Jeremy Lamb,placed on IL with strained right big toe
2016-04-08,Boston Celtics,Evan Turner,,activated from IL
2016-04-08,Boston Celtics,,James Young,placed on IL
2016-04-08,Indiana Pacers,Ty Lawson,,activated from IL
2016-04-09,Sacramento Kings,Duje Dukan,,activated from IL
2016-04-09,Golden State Warriors,James Michael,,activated from IL
2016-04-09,Golden State Warriors,,Andrew Bogut,placed on IL for rest
2016-04-09,Oklahoma City Thunder,Andre Roberson,,activated from IL
2016-04-09,Oklahoma City Thunder,,Josh Huestis,placed on IL
2016-04-09,Sacramento Kings,,Omri Casspi,placed on IL with sore/strained right hamstring (out for season)
2016-04-09,Chicago Bulls,ETwaun Moore,,activated from IL
2016-04-09,Boston Celtics,,Jordan Mickey,placed on IL
2016-04-09,Cleveland Cavaliers,LeBron James,,activated from IL
2016-04-09,Cleveland Cavaliers,,Maurice Williams,placed on IL with left knee injury
2016-04-09,Chicago Bulls,,Cameron Bairstow,placed on IL
2016-04-09,Boston Celtics,James Young,,activated from IL
2016-04-10,Golden State Warriors,Andrew Bogut,,activated from IL
2016-04-10,Golden State Warriors,,Leandro Barbosa,placed on IL
2016-04-10,San Antonio Spurs,Emanuel Ginobili,,activated from IL
2016-04-10,Toronto Raptors,DeMarre Carroll,,activated from IL
2016-04-10,Toronto Raptors,DeMar DeRozan,,activated from IL
2016-04-10,Toronto Raptors,,Luis Scola,placed on IL for rest
2016-04-10,San Antonio Spurs,,Tim Duncan,placed on IL
2016-04-10,Charlotte Hornets,Jeremy Lamb,,activated from IL
2016-04-10,Charlotte Hornets,,Aaron Harrison,placed on IL
2016-04-10,Los Angeles Clippers,Wesley Johnson,,activated from IL
2016-04-10,Los Angeles Clippers,Austin Rivers,,activated from IL
2016-04-10,Los Angeles Clippers,,Paul Pierce,placed on IL for rest
2016-04-10,Los Angeles Clippers,,Branden Dawson,placed on IL
2016-04-10,Toronto Raptors,,Delon Wright,placed on IL with left hip pointer
2016-04-11,Washington Wizards,Drew Gooden,,activated from IL
2016-04-11,Washington Wizards,,Markieff Morris,placed on IL (out for season)
2016-04-11,Washington Wizards,,Bradley Beal,placed on IL with pelvic injury (out for season)
2016-04-11,Oklahoma City Thunder,,Nazr Mohammed,placed on IL for rest
2016-04-11,Charlotte Hornets,Aaron Harrison,,activated from IL
2016-04-11,Charlotte Hornets,,Cody Zeller,placed on IL with bruised sternum
2016-04-11,Oklahoma City Thunder,Josh Huestis,,activated from IL
2016-04-12,Toronto Raptors,Luis Scola,,activated from IL
2016-04-12,Oklahoma City Thunder,Nazr Mohammed,,activated from IL
2016-04-12,Oklahoma City Thunder,,Serge Ibaka,placed on IL for rest
2016-04-12,San Antonio Spurs,Tim Duncan,,activated from IL
2016-04-12,San Antonio Spurs,,Emanuel Ginobili,placed on IL for rest
2016-04-12,Toronto Raptors,Delon Wright,,activated from IL
2016-04-12,Los Angeles Clippers,,Jamal Crawford,placed on IL for rest
2016-04-12,Toronto Raptors,,Bruno Caboclo,placed on IL
2016-04-12,Indiana Pacers,Shayne Whittington,,activated from IL
2016-04-12,Indiana Pacers,,CJ Miles,placed on IL with sore right shoulder (out for season)
2016-04-12,Los Angeles Clippers,Paul Pierce,,activated from IL
2016-04-12,Toronto Raptors,,James Johnson,placed on IL with plantar fasciitis
2016-04-13,Houston Rockets,Montrezl Harrell,,activated from IL
2016-04-13,Golden State Warriors,Leandro Barbosa,,activated from IL
2016-04-13,Golden State Warriors,,Ian Clark,placed on IL
2016-04-13,San Antonio Spurs,Boris Diaw,,activated from IL
2016-04-13,San Antonio Spurs,,Tim Duncan,placed on IL for rest
2016-04-13,Houston Rockets,,Terrence Jones,placed on IL
2016-04-13,Detroit Pistons,Jodie Meeks,,activated from IL
2016-04-13,Detroit Pistons,,Reggie Jackson,placed on IL with strained abdominal muscle
2016-04-13,Indiana Pacers,Rakeem Christmas,,activated from IL
2016-04-13,Indiana Pacers,,Ian Mahinmi,placed on IL
2016-04-13,Orlando Magic,Aaron Gordon,,activated from IL
2016-04-13,Orlando Magic,,Victor Oladipo,placed on IL with concussion (out for season)
2016-04-13,Utah Jazz,Tibor Pleiss,,activated from IL
2016-04-13,Utah Jazz,,Rudy Gobert,placed on IL with sprained right ankle (out for season)
2016-04-13,Charlotte Hornets,Cody Zeller,,activated from IL
2016-04-13,Charlotte Hornets,,Nicolas Batum,placed on IL with sore left ankle
2016-04-13,Memphis Grizzlies,Jordan Adams,,activated from IL
2016-04-13,Los Angeles Clippers,Branden Dawson,,activated from IL
2016-04-13,Los Angeles Clippers,,JJ Redick,placed on IL for rest
2016-04-13,Boston Celtics,Jordan Mickey,,activated from IL
2016-04-13,Boston Celtics,,James Young,placed on IL
2016-04-13,Cleveland Cavaliers,,Iman Shumpert,placed on IL with left knee injury
2016-04-13,Sacramento Kings,,DeMarcus Cousins,placed on IL for rest
2016-04-16,Golden State Warriors,,Kevon Looney,placed on IL with right hip injury (out for season)
2016-04-16,Golden State Warriors,,James Michael,placed on IL
2016-04-16,Oklahoma City Thunder,,Cameron Payne,placed on IL with sore right hip
2016-04-16,Houston Rockets,,Sam Dekker,placed on IL with sore back (out for season)
2016-04-16,Toronto Raptors,,Lucas Nogueira,placed on IL
2016-04-16,Dallas Mavericks,,Jeremy Evans,placed on IL recovering from surgery on right shoulder to repair torn labrum (out for season)
2016-04-16,Indiana Pacers,,Rakeem Christmas,placed on IL
2016-04-16,Atlanta Hawks,,Walter Tavares,placed on IL
2016-04-16,Boston Celtics,Isaiah Thomas,,activated from IL
2016-04-16,Boston Celtics,,John Holland,placed on IL
2016-04-16,Indiana Pacers,,Shayne Whittington,placed on IL (out for season)
2016-04-17,San Antonio Spurs,Tim Duncan,,activated from IL
2016-04-17,San Antonio Spurs,Emanuel Ginobili,,activated from IL
2016-04-17,San Antonio Spurs,,Matt Bonner,placed on IL
2016-04-17,San Antonio Spurs,,Andre Miller,placed on IL
2016-04-17,Detroit Pistons,Reggie Jackson,,activated from IL
2016-04-17,Detroit Pistons,,Darrun Hilliard,placed on IL
2016-04-17,Charlotte Hornets,Nicolas Batum,,activated from IL
2016-04-17,Detroit Pistons,,Lorenzo Brown,placed on IL (out for season)
2016-04-17,Memphis Grizzlies,,Jordan Adams,placed on IL with right knee injury (out for season)
2016-04-17,Los Angeles Clippers,JJ Redick,,activated from IL
2016-04-17,Los Angeles Clippers,,CJ Wilcox,placed on IL
2016-04-17,Los Angeles Clippers,,Branden Dawson,placed on IL
2016-04-17,Cleveland Cavaliers,Iman Shumpert,,activated from IL
2016-04-17,Cleveland Cavaliers,,Sasha Kaun,placed on IL
2016-04-17,Charlotte Hornets,,Aaron Harrison,placed on IL
2016-04-18,Houston Rockets,,Andrew Goudelock,placed on IL
2016-04-18,Houston Rockets,Terrence Jones,,activated from IL
2016-04-18,Oklahoma City Thunder,,Nazr Mohammed,placed on IL with strained right calf
2016-04-18,Golden State Warriors,,Stephen Curry,placed on IL with sprained right ankle
2016-04-18,Golden State Warriors,James Michael,,activated from IL
2016-04-18,Oklahoma City Thunder,Cameron Payne,,activated from IL
2016-04-19,San Antonio Spurs,,Jonathon Simmons,placed on IL
2016-04-19,San Antonio Spurs,Andre Miller,,activated from IL
2016-04-19,Boston Celtics,John Holland,,activated from IL
2016-04-19,Boston Celtics,,Avery Bradley,placed on IL with strained right hamstring (out for season)
2016-04-19,Boston Celtics,,Kelly Olynyk,placed on IL with sore right shoulder
2016-04-19,Boston Celtics,James Young,,activated from IL
2016-04-22,Cleveland Cavaliers,Maurice Williams,,activated from IL
2016-04-22,Detroit Pistons,,Reggie Bullock,placed on IL with left leg injury (out for season)
2016-04-22,Detroit Pistons,Darrun Hilliard,,activated from IL
2016-04-22,San Antonio Spurs,,Andre Miller,placed on IL
2016-04-22,San Antonio Spurs,Jonathon Simmons,,activated from IL
2016-04-23,Charlotte Hornets,,Nicolas Batum,placed on IL with sprained left ankle
2016-04-23,Charlotte Hornets,Aaron Harrison,,activated from IL
2016-04-24,Boston Celtics,,John Holland,placed on IL (out for season)
2016-04-24,Boston Celtics,Kelly Olynyk,,activated from IL
2016-04-24,San Antonio Spurs,,Kevin Martin,placed on IL with illness
2016-04-24,San Antonio Spurs,Andre Miller,,activated from IL
2016-04-24,Golden State Warriors,,Anderson Varejao,placed on IL
2016-04-24,Golden State Warriors,Stephen Curry,,activated from IL
2016-04-25,Oklahoma City Thunder,Nazr Mohammed,,activated from IL
2016-04-25,Oklahoma City Thunder,,Josh Huestis,placed on IL
2016-04-27,Los Angeles Clippers,,Blake Griffin,placed on IL with left quadriceps injury (out for season)
2016-04-27,Los Angeles Clippers,,Chris Paul,placed on IL recovering from surgery on right hand to repair fracture (out for season)
2016-04-27,Los Angeles Clippers,Branden Dawson,,activated from IL
