Date,Team,Acquired,Relinquished,Notes
2013-11-08,Los Angeles Lakers,,Steve Nash,rest (DNP)
2013-11-08,Charlotte Bobcats,,Steve Clifford,head coach underwent heart procedure (out indefinitely)
2013-11-08,Philadelphia 76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-08,Philadelphia 76ers,,Daniel Orton,sore right knee (DNP)
2013-11-08,Orlando Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
2013-11-09,Orlando Magic,,Doron Lamb,sprained right ankle (DNP)
2013-11-09,Philadelphia 76ers,,Daniel Orton,sore right knee (DNP)
2013-11-09,Philadelphia 76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-09,Milwaukee Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
2013-11-09,Milwaukee Bucks,,Larry Sanders,sprained right thumb (DNP)
2013-11-09,Los Angeles Clippers,,Matt Barnes,thigh injury (DNP)
2013-11-09,Memphis Grizzlies,,Jerryd Bayless,sprained right knee (DNP)
2013-11-09,Orlando Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
2013-11-09,Orlando Magic,,Tobias Harris,sprained left ankle (DNP)
2013-11-09,Dallas Mavericks,,Wayne Ellington,DNP
2013-11-10,Washington Wizards,,Trevor Booker,finger injury (DNP)
2013-11-10,Denver Nuggets,,JaVale McGee,stress fracture in left tibia (out indefinitely)
2013-11-10,Phoenix Suns,,Alex Len,sore left ankle (DNP)
2013-11-11,Houston Rockets,,Greg Smith,flu (DNP)
2013-11-11,Houston Rockets,,Francisco Garcia,flu (DNP)
2013-11-11,Orlando Magic,,Tobias Harris,sprained left ankle (DNP)
2013-11-11,Orlando Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
2013-11-11,Orlando Magic,,Doron Lamb,sprained right ankle (DNP)
2013-11-11,Charlotte Bobcats,Steve Clifford,,head coach returned to team
2013-11-11,Memphis Grizzlies,,Jerryd Bayless,sprained right knee (DNP)
2013-11-11,Milwaukee Bucks,,Larry Sanders,surgery on right thumb to repaor torn ligament (out indefinitely)
2013-11-11,Philadelphia 76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-11,Philadelphia 76ers,,Daniel Orton,sore right knee (DNP)
2013-11-11,San Antonio Spurs,,Tim Duncan,rest (DNP)
2013-11-11,Los Angeles Lakers,,Steve Nash,nerve irritation in back (out indefinitely)
2013-11-12,Milwaukee Bucks,,Larry Sanders,recovering from surgery on right thumb to repaor torn ligament (DNP)
2013-11-12,Dallas Mavericks,,Wayne Ellington,bruised right thigh (DNP)
2013-11-12,Milwaukee Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
2013-11-13,Minnesota Timberwolves,,Kevin Martin,flu (DNP)
2013-11-13,Phoenix Suns,,Alex Len,sore left ankle (DNP)
2013-11-13,Houston Rockets,,James Harden,bruised left foot (DNP)
2013-11-13,Houston Rockets,,Greg Smith,flu (DNP)
2013-11-13,Orlando Magic,,Solomon Jones,torn lateral meniscus in left knee (DNP)
2013-11-13,New Orleans Pelicans,,Greg Stiemsma,sprained MCL in left knee (DTD)
2013-11-13,Orlando Magic,,Tobias Harris,sprained left ankle (DNP)
2013-11-13,Memphis Grizzlies,,Quincy Pondexter,fractured nose (DNP)
2013-11-13,Milwaukee Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
2013-11-13,Milwaukee Bucks,,Zaur Pachulia,sore right foot (DNP)
2013-11-13,Milwaukee Bucks,,Larry Sanders,recovering from surgery on right thumb to repaor torn ligament (DNP)
2013-11-13,Milwaukee Bucks,,Gary Neal,sore left foot (DNP)
2013-11-13,Milwaukee Bucks,,Brandon Knight,sore/strained right hamstring (DNP)
2013-11-13,Philadelphia 76ers,,Michael Carter-Williams,bruised left foot (DNP)
2013-11-13,Philadelphia 76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-13,Boston Celtics,,Jared Sullinger,bruised right knee (DNP)
2013-11-15,Minnesota Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
2013-11-15,Phoenix Suns,,Alex Len,sore left ankle (DNP)
2013-11-15,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-11-15,Dallas Mavericks,,Wayne Ellington,bruised right thigh (DNP)
2013-11-15,Miami Heat,,Udonis Haslem,back spasms (DNP)
2013-11-15,Chicago Bulls,,Derrick Rose,sore hamstring (DNP)
2013-11-15,Milwaukee Bucks,,Caron Butler,sprained left shoulder (DNP)
2013-11-15,Philadelphia 76ers,,Michael Carter-Williams,bruised left foot (DNP)
2013-11-15,Philadelphia 76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-15,Milwaukee Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
2013-11-16,Dallas Mavericks,,Wayne Ellington,bruised right thigh (DNP)
2013-11-16,Minnesota Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
2013-11-16,Houston Rockets,,Omer Asik,illness (DNP)
2013-11-16,Nets,,Deron Williams,sprained left ankle (DNP)
2013-11-16,Nets,,Brook Lopez,sprained left ankle (DNP)
2013-11-16,Orlando Magic,,Tobias Harris,sprained left ankle (DNP)
2013-11-16,Washington Wizards,,Al Harrington,sore right knee (DTD)
2013-11-16,Miami Heat,,Udonis Haslem,back spasms (DNP)
2013-11-16,Boston Celtics,,Keith Bogans,illness (DNP)
2013-11-16,Boston Celtics,,Courtney Lee,sore right wrist (DNP)
2013-11-16,Milwaukee Bucks,,Ersan Ilyasova,sore/aprained right ankle (DNP)
2013-11-16,Milwaukee Bucks,,Caron Butler,sprained left shoulder (DNP)
2013-11-16,Philadelphia 76ers,,Michael Carter-Williams,bruised left foot (DNP)
2013-11-16,Orlando Magic,,Kyle OQuinn,sprained right ankle (DNP)
2013-11-16,Washington Wizards,,Trevor Ariza,strained right hamstring (DNP)
2013-11-17,Sacramento Kings,,Patrick Patterson,bruised left knee (DNP)
2013-11-18,Philadelphia 76ers,,Kwame Brown,strained right hamstring (DNP)
2013-11-18,Philadelphia 76ers,,Michael Carter-Williams,bruised left foot (DNP)
2013-11-18,Dallas Mavericks,,Wayne Ellington,bruised right thigh (DNP)
2013-11-18,Nets,,Deron Williams,sprained left ankle (DNP)
2013-11-19,Washington Wizards,,Trevor Ariza,strained right hamstring (DNP)
2013-11-19,Washington Wizards,,Al Harrington,sore right knee (DNP)
2013-11-19,Phoenix Suns,,Eric Bledsoe,bruised shin (DNP)
2013-11-19,Minnesota Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
2013-11-19,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-11-19,New York Knicks,,Raymond Felton,pinched nerve in left hip (DNP)
2013-11-19,Houston Rockets,,Ronnie Brewer,strained right calf (DNP)
2013-11-20,Toronto Raptors,,Quincy Acy,sprained right ankle (DNP)
2013-11-20,Washington Wizards,,Trevor Ariza,strained right hamstring (DNP)
2013-11-20,Minnesota Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
2013-11-20,Houston Rockets,,Ronnie Brewer,strained right calf (DNP)
2013-11-20,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-11-20,Detroit Pistons,,Charlie Villanueva,sore back (DNP)
2013-11-20,Orlando Magic,,Kyle OQuinn,sprained right ankle (DNP)
2013-11-20,Orlando Magic,,Tobias Harris,sprained left ankle (DNP)
2013-11-20,New York Knicks,,Raymond Felton,pinched nerve in left hip (DNP)
2013-11-20,Los Angeles Clippers,,Matt Barnes,bruised left eye (DNP)
2013-11-20,Boston Celtics,,Keith Bogans,illness (DNP)
2013-11-20,Dallas Mavericks,,Wayne Ellington,bruised right thigh (DNP)
2013-11-21,Los Angeles Clippers,,Matt Barnes,bruised left eye (DNP)
2013-11-21,Los Angeles Clippers,,Matt Barnes,surgery on left eye to repair torn retina (out indefinitely)
2013-11-22,Detroit Pistons,,Charlie Villanueva,sore back (DNP)
2013-11-22,Golden State Warriors,,Ognjen Kuzmic,fractured right hand (DNP)
2013-11-22,Minnesota Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
2013-11-22,Indiana Pacers,,CJ Watson,upper respiratory infection (DNP)
2013-11-22,Washington Wizards,,Trevor Ariza,strained right hamstring (DNP)
2013-11-22,Nets,,Deron Williams,sprained left ankle (DNP)
2013-11-22,Los Angeles Lakers,,Chris Kaman,sore back (DNP)
2013-11-22,Boston Celtics,,Keith Bogans,illness (DNP)
2013-11-22,Milwaukee Bucks,,Brandon Knight,sore right hamstring (DNP)
2013-11-22,Nets,,Jason Terry,knee injury (DTD)
2013-11-23,Washington Wizards,,Al Harrington,sore right knee (DNP)
2013-11-23,Minnesota Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
2013-11-23,Houston Rockets,,Ronnie Brewer,strained right calf (DNP)
2013-11-23,Houston Rockets,,James Harden,sore left foot (DNP)
2013-11-23,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-11-23,Orlando Magic,,Kyle OQuinn,sprained right ankle (DNP)
2013-11-23,New York Knicks,,Raymond Felton,pinched nerve in left hip (DNP)
2013-11-23,Washington Wizards,,Trevor Ariza,strained right hamstring (DNP)
2013-11-23,Los Angeles Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
2013-11-23,Boston Celtics,,Kelly Olynyk,sprained right ankle (DNP)
2013-11-23,Boston Celtics,,Keith Bogans,illness (DNP)
2013-11-23,Chicago Bulls,,Derrick Rose,torn meniscus in right knee (out for season)
2013-11-23,Philadelphia 76ers,,Tony Wroten,strained lower back (DNP)
2013-11-23,Philadelphia 76ers,,Spencer Hawes,sore left knee (DNP)
2013-11-23,Memphis Grizzlies,,Marc Gasol,sprained MCL in left knee (out indefinitely)
2013-11-24,Los Angeles Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
2013-11-24,Los Angeles Lakers,,Chris Kaman,sore back (DNP)
2013-11-24,Nets,,Deron Williams,sprained left ankle (DNP)
2013-11-25,Minnesota Timberwolves,,Shabazz Muhammad,sprained right ankle (DNP)
2013-11-25,Houston Rockets,,Ronnie Brewer,strained right calf (DNP)
2013-11-25,Houston Rockets,,James Harden,sore left foot (DNP)
2013-11-25,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-11-25,New York Knicks,,Raymond Felton,pinched nerve in left hip (DNP)
2013-11-25,Boston Celtics,,Keith Bogans,illness (DNP)
2013-11-25,Chicago Bulls,,Derrick Rose,surgery on right knee to repair torn meniscus (out for season)
2013-11-25,Boston Celtics,,Kelly Olynyk,sprained right ankle (DNP)
2013-11-26,Los Angeles Lakers,,Chris Kaman,sore back (DNP)
2013-11-26,Nets,,Deron Williams,sprained left ankle (DNP)
2013-11-26,Nets,,Jason Terry,bruised left knee (DNP)
2013-11-26,Washington Wizards,,Al Harrington,sore right knee (DNP)
2013-11-27,Atlanta Hawks,,Shelvin Mack,sprained left ankle (DNP)
2013-11-27,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-11-27,Nets,,Deron Williams,sprained left ankle (DNP)
2013-11-27,Los Angeles Lakers,,Chris Kaman,sore back (DNP)
2013-11-27,Atlanta Hawks,,Kyle Korver,bruised ribs (DNP)
2013-11-27,Houston Rockets,,James Harden,sore left foot (DNP)
2013-11-27,Boston Celtics,,Kelly Olynyk,sprained right ankle (DNP)
2013-11-27,Cleveland Cavaliers,,Tyler Zeller,sprained right ankle (DNP)
2013-11-27,Milwaukee Bucks,,Nate Wolters,illness (DNP)
2013-11-27,Philadelphia 76ers,,Tony Wroten,strained lower back (DNP)
2013-11-27,Philadelphia 76ers,,Spencer Hawes,sore left knee (DNP)
2013-11-27,Los Angeles Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
2013-11-29,Phoenix Suns,Eric Bledsoe,,returned to lineup
2013-11-29,Phoenix Suns,,Alex Len,sore left ankle (DNP)
2013-11-29,Houston Rockets,,Jeremy Lin,sprained right knee (DNP)
2013-11-29,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-11-29,Nets,,Kevin Garnett,rest (DNP)
2013-11-29,Nets,,Deron Williams,sprained left ankle (DNP)
2013-11-29,Washington Wizards,,Nene Nene,sore right Achilles (DNP)
2013-11-29,Los Angeles Lakers,,Chris Kaman,sore back (DNP)
2013-11-29,Los Angeles Clippers,,Matt Barnes,recovering from surgery on left eye (DNP)
2013-11-29,Los Angeles Clippers,,Chris Paul,strained right hamstring (DNP)
2013-11-29,Boston Celtics,,Kelly Olynyk,sprained right ankle (DNP)
2013-11-29,Boston Celtics,,Courtney Lee,sore/sprained left knee (DNP)
2013-11-29,Milwaukee Bucks,,Caron Butler,sore left knee (DNP)
2013-11-29,Orlando Magic,,Jameer Nelson,sprained left foot (DNP)
2013-11-30,Washington Wizards,,Al Harrington,sore right knee (DNP)
2013-11-30,Minnesota Timberwolves,,Shabazz Muhammad,DNP
2013-11-30,Houston Rockets,,Jeremy Lin,sprained right knee (DNP)
2013-11-30,Houston Rockets,,Greg Smith,sprained right knee (DNP)
2013-11-30,Nets,,Paul Pierce,bruised right hand (DNP)
2013-11-30,Nets,,Deron Williams,sprained left ankle (DNP)
2013-11-30,Dallas Mavericks,,Jose Calderon,bone bruise in right ankle (DNP)
2013-11-30,Utah Jazz,,Andris Biedrins,sprained left ankle (out indefinitely)
