Date,Team,Acquired,Relinquished,Notes
2014-12-10,Denver Nuggets,Kenneth Faried,,returned to lineup
2014-12-10,New York Knicks,,Carmelo Anthony,sore left knee (DTD)
2014-12-10,Dallas Mavericks,,Jameer Nelson,sore right shoulder (DTD)
2014-12-10,New York Knicks,,JR Smith,sore left heel (DTD)
2014-12-10,Miami Heat,,Josh McRoberts,torn meniscus in right knee (out for season)
2014-12-10,Nets,,Mirza Teletovic,right hip pointer (DTD)
2014-12-11,Houston Rockets,,Isaiah Canaan,sprained left knee (DTD)
2014-12-11,Sacramento Kings,,Omri Casspi,bone bruise in left knee (DTD)
2014-12-11,Cleveland Cavaliers,,LeBron James,sore left knee (DTD)
2014-12-12,Cleveland Cavaliers,LeBron James,,returned to lineup
2014-12-12,New York Knicks,Carmelo Anthony,,returned to lineup
2014-12-12,San Antonio Spurs,Tony Parker,,returned to lineup
2014-12-12,San Antonio Spurs,Emanuel Ginobili,,returned to lineup
2014-12-12,San Antonio Spurs,Tim Duncan,,returned to lineup
2014-12-13,Denver Nuggets,,Danilo Gallinari,bruised right knee (DTD)
2014-12-13,Milwaukee Bucks,,Damien Inglis,right ankle injury (out for season)
2014-12-13,Houston Rockets,Dwight Howard,,returned to lineup
2014-12-13,Houston Rockets,,Isaiah Canaan,sprained left ankle (DTD)
2014-12-13,Dallas Mavericks,Jameer Nelson,,returned to lineup
2014-12-13,Nets,,Kevin Garnett,rest (DTD)
2014-12-13,Chicago Bulls,,Doug McDermott,arthroscopic surgery on right knee to repair torn meniscus (out indefinitely)
2014-12-13,Philadelphia 76ers,,KJ McDaniels,sprained left ankle (DTD)
2014-12-13,Indiana Pacers,,CJ Miles,bruised left knee (DTD)
2014-12-14,New Orleans Pelicans,,Anthony Davis,chest injury (DTD)
2014-12-14,Denver Nuggets,Nate Robinson,,returned to lineup
2014-12-14,Miami Heat,,Chris Bosh,strained left calf (out indefinitely)
2014-12-14,Denver Nuggets,,Kenneth Faried,strained right ankle (DTD)
2014-12-15,Philadelphia 76ers,KJ McDaniels,,returned to lineup
2014-12-15,Boston Celtics,,Marcus Smart,strained left Achilles (DTD)
2014-12-15,Indiana Pacers,CJ Miles,,returned to lineup
2014-12-15,San Antonio Spurs,,Emanuel Ginobili,bruised lower back (DTD)
2014-12-15,San Antonio Spurs,,Tiago Splitter,calf injury (DTD)
2014-12-15,San Antonio Spurs,,Tim Duncan,rest (DTD)
2014-12-16,Minnesota Timberwolves,Maurice Williams,,returned to lineup
2014-12-16,Milwaukee Bucks,,Jabari Parker,torn ACL in left knee (out for season)
2014-12-16,Miami Heat,,Danny Granger,illness (DTD)
2014-12-16,Nets,Kevin Garnett,,returned to lineup
2014-12-16,New Orleans Pelicans,Anthony Davis,,returned to lineup
2014-12-16,Minnesota Timberwolves,,Ronny Turiaf,arthroscopic surgery on right hip (out for season)
2014-12-16,Washington Wizards,,Paul Pierce,sore right toe (DTD)
2014-12-17,San Antonio Spurs,Emanuel Ginobili,,returned to lineup
2014-12-17,San Antonio Spurs,Tim Duncan,,returned to lineup
2014-12-17,San Antonio Spurs,,Kawhi Leonard,bruised right hand (DTD)
2014-12-17,San Antonio Spurs,Tiago Splitter,,returned to lineup
2014-12-17,Denver Nuggets,Kenneth Faried,,returned to lineup
2014-12-17,Nets,,Sergey Karasev,strained left oblique (DTD)
2014-12-17,Houston Rockets,Isaiah Canaan,,returned to lineup
2014-12-17,Memphis Grizzlies,,Tony Allen,right eye injury (DTD)
2014-12-18,Milwaukee Bucks,,Larry Sanders,suspended by NBA for 1 game for shoving opposing player
2014-12-18,New York Knicks,,Carmelo Anthony,sore left knee (DTD)
2014-12-18,New Orleans Pelicans,,Tyreke Evans,bruised right knee (DTD)
2014-12-19,Houston Rockets,Francisco Garcia,,returned to lineup
2014-12-19,Washington Wizards,Paul Pierce,,returned to lineup
2014-12-19,Oklahoma City Thunder,,Kendrick Perkins,left knee injury (DTD)
2014-12-19,Denver Nuggets,,Darrell Arthur,strained left leg (DTD)
2014-12-19,Charlotte Hornets,,Lance Stephenson,bruised pelvis (DTD)
2014-12-19,Boston Celtics,Marcus Smart,,returned to lineup
2014-12-19,Philadelphia 76ers,,Furkan Aldemir,plantar fasciitis right foot in (DTD)
2014-12-19,Nets,Sergey Karasev,,returned to lineup
2014-12-20,San Antonio Spurs,,Emanuel Ginobili,rest (DTD)
2014-12-20,San Antonio Spurs,,Tim Duncan,rest (DTD)
2014-12-20,San Antonio Spurs,,Tiago Splitter,rest (DTD)
2014-12-20,San Antonio Spurs,,Danny Green,rest (DTD)
2014-12-20,New York Knicks,Carmelo Anthony,,returned to lineup
2014-12-20,Indiana Pacers,,CJ Watson,upper respiratory ailment (DTD)
2014-12-20,New York Knicks,,Amare Stoudemire,rest (DTD)
2014-12-20,New Orleans Pelicans,Tyreke Evans,,returned to lineup
2014-12-21,Philadelphia 76ers,,Hollis Thompson,upper respiratory illness (DTD)
2014-12-21,Miami Heat,,Dwyane Wade,bruised right knee (DTD)
2014-12-21,Miami Heat,,Hassan Whiteside,left toe injury (DTD)
2014-12-21,Miami Heat,Danny Granger,,returned to lineup
2014-12-21,Sacramento Kings,,Ramon Sessions,back injury (DTD)
2014-12-21,Denver Nuggets,,Danilo Gallinari,torn meniscus in right knee (out indefinitely)
2014-12-21,Indiana Pacers,CJ Watson,,returned to lineup
2014-12-21,Oklahoma City Thunder,Kendrick Perkins,,returned to lineup
2014-12-22,San Antonio Spurs,Emanuel Ginobili,,returned to lineup
2014-12-22,San Antonio Spurs,Tim Duncan,,returned to lineup
2014-12-22,San Antonio Spurs,Danny Green,,returned to lineup
2014-12-22,San Antonio Spurs,Tiago Splitter,,returned to lineup
2014-12-22,Denver Nuggets,,Danilo Gallinari,surgery on right knee to repair torn meniscus (out indefinitely)
2014-12-22,Sacramento Kings,Ramon Sessions,,returned to lineup
2014-12-22,Houston Rockets,Alexey Shved,,returned to lineup
2014-12-23,Philadelphia 76ers,Ronny Turiaf,,returned to lineup
2014-12-23,Indiana Pacers,,Damjan Rudez,upper respiratory infection (DTD)
2014-12-23,Los Angeles Lakers,,Kobe Bryant,general soreness / rest (DTD)
2014-12-23,Miami Heat,Dwyane Wade,,returned to lineup
2014-12-23,Miami Heat,Hassan Whiteside,,returned to lineup
2014-12-23,Miami Heat,,Josh McRoberts,surgery on right knee to repair torn meniscus (out for season)
2014-12-23,Atlanta Hawks,,Pero Antic,sprained right ankle (DTD)
2014-12-23,Philadelphia 76ers,,Tony Wroten,sprained right knee (DTD)
2014-12-23,Miami Heat,,Justin Hamilton,concussion (DTD)
2014-12-25,New York Knicks,Amare Stoudemire,,returned to lineup
2014-12-25,San Antonio Spurs,,Boris Diaw,illness (DTD)
2014-12-26,San Antonio Spurs,Boris Diaw,,returned to lineup
2014-12-26,San Antonio Spurs,,Tony Parker,strained hamstring (DTD)
2014-12-26,Memphis Grizzlies,Tony Allen,,returned to lineup
2014-12-26,Sacramento Kings,,Ramon Sessions,strained lower back (DTD)
2014-12-26,Milwaukee Bucks,,Ersan Ilyasova,concussion (DTD)
2014-12-26,Philadelphia 76ers,Tony Wroten,,returned to lineup
2014-12-26,Philadelphia 76ers,Furkan Aldemir,,returned to lineup
2014-12-26,Cleveland Cavaliers,,Anderson Varejao,surgery to repair torn left Achilles tendon (out for season)
2014-12-27,Philadelphia 76ers,,Luc Richard,strained left calf (DTD)
2014-12-27,New York Knicks,,Amare Stoudemire,sore right knee (DTD)
2014-12-27,Indiana Pacers,,CJ Miles,upper respiratory infection / illness (DTD)
2014-12-27,Houston Rockets,,Alexey Shved,sprained left ankle (DTD)
2014-12-27,Toronto Raptors,,Landry Fields,concussion (DTD)
2014-12-28,Los Angeles Lakers,Xavier Henry,,returned to lineup
2014-12-28,Denver Nuggets,Darrell Arthur,,returned to lineup
2014-12-28,Los Angeles Lakers,Kobe Bryant,,returned to lineup
2014-12-28,New York Knicks,,Samuel Dalembert,sprained right ankle (DTD)
2014-12-29,Sacramento Kings,,Eric Moreland,left shoulder injury (out for season)
2014-12-29,Indiana Pacers,CJ Miles,,returned to lineup
2014-12-29,Charlotte Hornets,,Lance Stephenson,bruised pelvis (DTD)
2014-12-30,Cleveland Cavaliers,,Shawn Marion,sprained left ankle (DTD)
2014-12-30,Atlanta Hawks,,Al Horford,illness (DTD)
2014-12-30,Denver Nuggets,,Darrell Arthur,leg injury (DTD)
2014-12-31,Utah Jazz,,Alec Burks,surgery on left shoulder (out for season)
2014-12-31,Charlotte Hornets,,Al Jefferson,strained adductor muscle in left groin (out indefinitely)
2014-12-31,New York Knicks,JR Smith,,returned to lineup
2014-12-31,Milwaukee Bucks,,Jerryd Bayless,sore left knee (DTD)
2014-12-31,Cleveland Cavaliers,,Kevin Love,back spasms (DTD)
2015-01-01,Denver Nuggets,Darrell Arthur,,returned to lineup
2015-01-02,Toronto Raptors,Landry Fields,,returned to lineup
2015-01-02,Indiana Pacers,,George Hill,sore/strained left groin (DTD)
2015-01-02,Indiana Pacers,,CJ Watson,sore left foot (DTD)
2015-01-02,Los Angeles Lakers,Ryan Kelly,,returned to lineup
2015-01-02,Utah Jazz,,Rodney Hood,left heel injury (out indefinitely)
2015-01-02,New York Knicks,,Carmelo Anthony,sore left knee (DTD)
2015-01-02,Cleveland Cavaliers,Shawn Marion,,returned to lineup
2015-01-02,Cleveland Cavaliers,Kevin Love,,returned to lineup
2015-01-02,Milwaukee Bucks,Jerryd Bayless,,returned to lineup
2015-01-02,Philadelphia 76ers,Luc Richard,,returned to lineup
2015-01-02,Atlanta Hawks,Al Horford,,returned to lineup
2015-01-03,Utah Jazz,,Enes Kanter,sprained right ankle (out indefinitely)
2015-01-03,Philadelphia 76ers,,Michael Carter-Williams,sore right shoulder (DTD)
2015-01-03,Boston Celtics,,Jameer Nelson,sprained right ankle (DTD)
2015-01-03,Memphis Grizzlies,,Beno Udrih,bruised lower left leg (DTD)
2015-01-03,Minnesota Timberwolves,,Chase Budinger,illness (DTD)
2015-01-04,New York Knicks,,Andrea Bargnani,sore/strained right calf (DTD)
2015-01-05,Philadelphia 76ers,,Luc Richard,turf toe (DTD)
2015-01-05,Golden State Warriors,,Brandon Rush,flu (DTD)
2015-01-05,Minnesota Timberwolves,,Robbie Hummel,illness (DTD)
2015-01-05,Indiana Pacers,CJ Watson,,returned to lineup
2015-01-05,Nets,,Deron Williams,back injury / sore left side (DTD)
2015-01-05,Los Angeles Lakers,,Wesley Johnson,strained right hip flexor (DTD)
2015-01-05,Nets,,Kevin Garnett,rest (DTD)
2015-01-05,Utah Jazz,,Trey Burke,strep throat (DTD)
2015-01-05,Memphis Grizzlies,Beno Udrih,,returned to lineup
2015-01-05,Cleveland Cavaliers,,Kyrie Irving,tightness in lower back (DTD)
2015-01-05,Milwaukee Bucks,,Jabari Parker,surgery on left knee to repair torn ACL (out for season)
2015-01-05,Philadelphia 76ers,Michael Carter-Williams,,returned to lineup
2015-01-05,Los Angeles Lakers,,Kobe Bryant,rest (DTD)
2015-01-06,Los Angeles Lakers,,Julius Randle,surgery on right foot/leg to replace screw (out for season)
2015-01-06,San Antonio Spurs,,Aron Baynes,neck spasms (DTD)
2015-01-07,Washington Wizards,Drew Gooden,,returned to lineup
2015-01-07,Minnesota Timberwolves,Robbie Hummel,,returned to lineup
2015-01-07,Minnesota Timberwolves,Chase Budinger,,returned to lineup
2015-01-07,Indiana Pacers,,Rodney Stuckey,sore right groin (DTD)
2015-01-07,Nets,Kevin Garnett,,returned to lineup
2015-01-07,Los Angeles Lakers,,Ronnie Price,fractured nose (DTD)
2015-01-07,Los Angeles Lakers,Kobe Bryant,,returned to lineup
2015-01-07,Utah Jazz,Trey Burke,,returned to lineup
2015-01-07,Cleveland Cavaliers,Kyrie Irving,,returned to lineup
2015-01-07,Cleveland Cavaliers,,Iman Shumpert,dislocated left shoulder (DTD)
2015-01-07,Nets,Deron Williams,,returned to lineup
2015-01-08,Charlotte Hornets,,Cody Zeller,strained right shoulder (DTD)
2015-01-08,Charlotte Hornets,,PJ Hairston,illness (DTD)
2015-01-08,Nets,,Deron Williams,fractured rib (out indefinitely)
2015-01-09,Minnesota Timberwolves,,Maurice Williams,sprained right ankle (DTD)
2015-01-09,Indiana Pacers,Rodney Stuckey,,returned to lineup
2015-01-09,Denver Nuggets,,Wilson Chandler,strained right knee (DTD)
2015-01-09,Nets,,Kevin Garnett,rest (DTD)
2015-01-09,Los Angeles Lakers,,Kobe Bryant,rest (DTD)
2015-01-09,Cleveland Cavaliers,,Shawn Marion,strained left hip (DTD)
2015-01-09,Philadelphia 76ers,Luc Richard,,returned to lineup
2015-01-09,Los Angeles Lakers,Ronnie Price,,returned to lineup
2015-01-10,Houston Rockets,Alexey Shved,,returned to lineup
2015-01-10,Minnesota Timberwolves,,Shabazz Muhammad,sore lower abdomen / strained oblique (DTD)
2015-01-10,San Antonio Spurs,Cory Joseph,,returned to lineup
2015-01-10,Minnesota Timberwolves,Maurice Williams,,returned to lineup
2015-01-10,San Antonio Spurs,,Marco Belinelli,strained left groin (DTD)
2015-01-10,Indiana Pacers,Damjan Rudez,,returned to lineup
2015-01-10,Charlotte Hornets,PJ Hairston,,returned to lineup
2015-01-10,Orlando Magic,,Tobias Harris,sprained left ankle (DTD)
2015-01-10,Utah Jazz,Enes Kanter,,returned to lineup
2015-01-10,Charlotte Hornets,Cody Zeller,,returned to lineup
2015-01-10,Portland Trailblazers,,Allen Crabbe,strained left knee (DTD)
2015-01-10,Nets,Kevin Garnett,,returned to lineup
2015-01-11,Los Angeles Lakers,Wesley Johnson,,returned to lineup
2015-01-12,Houston Rockets,,Terrence Jones,nerve inflammation in left leg (DTD)
2015-01-13,Philadelphia 76ers,Hollis Thompson,,returned to lineup
2015-01-13,Cleveland Cavaliers,Shawn Marion,,returned to lineup
2015-01-13,Utah Jazz,,Trevor Booker,stomach flu (DTD)
2015-01-13,Los Angeles Lakers,Kobe Bryant,,returned to lineup
2015-01-14,Dallas Mavericks,,Tyson Chandler,rest / sprained left ankle (DTD)
2015-01-14,Denver Nuggets,Wilson Chandler,,returned to lineup
2015-01-14,Dallas Mavericks,,Rajon Rondo,sore Achilles (DTD)
2015-01-14,Charlotte Hornets,,Gary Neal,sore right hamstring (DTD)
2015-01-14,Dallas Mavericks,,Dirk Nowitzki,rest (DTD)
2015-01-14,Philadelphia 76ers,,Tony Wroten,sprained right ankle / knee (DTD)
2015-01-14,Philadelphia 76ers,,Robert Covington,bruised right shoulder (DTD)
2015-01-15,Milwaukee Bucks,Ersan Ilyasova,,returned to lineup
2015-01-16,Golden State Warriors,Brandon Rush,,returned to lineup
2015-01-16,Golden State Warriors,,Andre Iguodala,rest (DTD)
2015-01-16,New Orleans Pelicans,,Anthony Davis,sprained left toe (DTD)
2015-01-16,Nets,,Sergey Karasev,illness (DTD)
2015-01-16,Dallas Mavericks,Rajon Rondo,,returned to lineup
2015-01-16,Dallas Mavericks,Dirk Nowitzki,,returned to lineup
2015-01-16,Los Angeles Lakers,,Ronnie Price,elbow injury / fractured nose (P) (DTD)
2015-01-16,Los Angeles Lakers,,Kobe Bryant,rest (DTD)
2015-01-16,Dallas Mavericks,Tyson Chandler,,returned to lineup
2015-01-16,Utah Jazz,Trevor Booker,,returned to lineup
2015-01-16,Miami Heat,,Chris Andersen,illness (DTD)
2015-01-16,Boston Celtics,,James Young,illness (DTD)
2015-01-16,Cleveland Cavaliers,,Kevin Love,back spasms (DTD)
2015-01-16,Portland Trailblazers,Allen Crabbe,,returned to lineup
2015-01-16,Philadelphia 76ers,Robert Covington,,returned to lineup
2015-01-16,Philadelphia 76ers,,Malcolm Thomas,right leg injury (DTD)
2015-01-16,Sacramento Kings,,Carl Landry,sprained right wrist (DTD)
2015-01-17,Milwaukee Bucks,,Kendall Marshall,surgery on right knee to repair torn ACL (out for season)
2015-01-17,Milwaukee Bucks,,Kendall Marshall,torn ACL in right knee (out for season)
2015-01-17,Golden State Warriors,Andre Iguodala,,returned to lineup
2015-01-17,Sacramento Kings,,DeMarcus Cousins,sprained right ankle (DTD)
2015-01-17,Atlanta Hawks,,Dennis Schröder,ankle injury (DTD)
2015-01-17,Charlotte Hornets,,Kemba Walker,left knee injury (DTD)
2015-01-17,Philadelphia 76ers,Malcolm Thomas,,returned to lineup
2015-01-17,Charlotte Hornets,Gary Neal,,returned to lineup
2015-01-19,Atlanta Hawks,Dennis Schröder,,returned to lineup
2015-01-19,Philadelphia 76ers,,Luc Richard,bruised left knee (DTD)
2015-01-19,Cleveland Cavaliers,Kevin Love,,returned to lineup
2015-01-19,Sacramento Kings,DeMarcus Cousins,,returned to lineup
2015-01-20,Miami Heat,Chris Andersen,,returned to lineup
2015-01-21,Philadelphia 76ers,,Nerlens Noel,illness / upper respiratory infection (DTD)
2015-01-21,Portland Trailblazers,,LaMarcus Aldridge,left thumb injury (DTD)
2015-01-21,Miami Heat,,Hassan Whiteside,sprained right ankle (DTD)
2015-01-21,Los Angeles Lakers,,Tarik Black,sprained right ankle (DTD)
2015-01-21,Los Angeles Lakers,Kobe Bryant,,returned to lineup
2015-01-21,Los Angeles Lakers,Ronnie Price,,returned to lineup
2015-01-21,New Orleans Pelicans,Anthony Davis,,returned to lineup
2015-01-22,Los Angeles Lakers,,Kobe Bryant,torn rotator cuff in right shoulder (out for season)
2015-01-22,Nets,,Kevin Garnett,rest (DTD)
2015-01-22,Nets,Sergey Karasev,,returned to lineup
2015-01-23,New Orleans Pelicans,,Ryan Anderson,ankle injury (DTD)
2015-01-23,Denver Nuggets,JaVale McGee,,returned to lineup
2015-01-23,Nets,,Mirza Teletovic,blood clots in lungs (out indefinitely)
2015-01-23,Golden State Warriors,,Andre Iguodala,rest (DTD)
2015-01-23,Philadelphia 76ers,Nerlens Noel,,returned to lineup
2015-01-23,Philadelphia 76ers,Luc Richard,,returned to lineup
2015-01-23,Los Angeles Lakers,,Jeremy Lin,unspecified (DTD)
2015-01-24,Portland Trailblazers,,Nicolas Batum,sprained right wrist (DTD)
2015-01-24,Portland Trailblazers,LaMarcus Aldridge,,returned to lineup
2015-01-24,New York Knicks,,Carmelo Anthony,sore left knee (DTD)
2015-01-24,Nets,Kevin Garnett,,returned to lineup
2015-01-24,Denver Nuggets,,JaVale McGee,tibia injury (DTD)
2015-01-24,Detroit Pistons,,Brandon Jennings,torn left Achilles (out for season)
2015-01-25,Minnesota Timberwolves,,Robbie Hummel,fractured right hand (out indefinitely)
2015-01-25,Oklahoma City Thunder,,Steven Adams,migraine headache (DTD)
2015-01-25,Houston Rockets,,Dwight Howard,sprained right ankle/ right knee injury (DTD)
2015-01-25,New Orleans Pelicans,Ryan Anderson,,returned to lineup
2015-01-25,Cleveland Cavaliers,,Brendan Haywood,left knee injury (DTD)
2015-01-25,Los Angeles Lakers,Jeremy Lin,,returned to lineup
2015-01-25,Miami Heat,Hassan Whiteside,,returned to lineup
2015-01-25,Golden State Warriors,Andre Iguodala,,returned to lineup
2015-01-25,Los Angeles Lakers,Tarik Black,,returned to lineup
2015-01-26,Utah Jazz,,Jeremy Evans,illness (DTD)
2015-01-26,Oklahoma City Thunder,Steven Adams,,returned to lineup
2015-01-26,Philadelphia 76ers,,Michael Carter-Williams,upper respiratory infection (DTD)
2015-01-26,Boston Celtics,,Shavlik Randolph,hamstring injury (DTD)
2015-01-27,Golden State Warriors,,Andrew Bogut,flu (DTD)
2015-01-27,Los Angeles Lakers,,Nick Young,sprained right ankle (DTD)
2015-01-27,Miami Heat,,Chris Andersen,back injury (DTD)
2015-01-27,Memphis Grizzlies,,Mike Conley,sprained left wrist (DTD)
2015-01-28,Minnesota Timberwolves,,Maurice Williams,sore left hip (DTD)
2015-01-28,Denver Nuggets,JaVale McGee,,returned to lineup
2015-01-28,Los Angeles Lakers,,Kobe Bryant,surgery on right shoulder to repair torn rotator cuff (out for season)
2015-01-28,New York Knicks,Carmelo Anthony,,returned to lineup
2015-01-28,New York Knicks,,Travis Wear,strained left hip (DTD)
2015-01-28,Charlotte Hornets,,Marvin Williams,concussion (DTD)
2015-01-28,Washington Wizards,Paul Pierce,,returned to lineup
2015-01-28,Charlotte Hornets,,Bismack Biyombo,bone bruise in right knee (DTD)
2015-01-28,Los Angeles Clippers,,JJ Redick,back spasms (DTD)
2015-01-28,Cleveland Cavaliers,,LeBron James,sprained right wrist (DTD)
2015-01-28,Portland Trailblazers,Nicolas Batum,,returned to lineup
2015-01-28,Philadelphia 76ers,Michael Carter-Williams,,returned to lineup
2015-01-28,Charlotte Hornets,,Kemba Walker,surgery on left knee to repair torn lateral meniscus (out for season)
2015-01-29,Milwaukee Bucks,,Ersan Ilyasova,groin injury (DTD)
2015-01-29,Milwaukee Bucks,,Zaur Pachulia,calf injury (DTD)
2015-01-29,New York Knicks,,Cole Aldrich,bruised left shin (DTD)
2015-01-30,Golden State Warriors,Andrew Bogut,,returned to lineup
2015-01-30,New Orleans Pelicans,,Anthony Davis,strained left groin (DTD)
2015-01-30,Dallas Mavericks,,Chandler Parsons,illness (DTD)
2015-01-30,Cleveland Cavaliers,LeBron James,,returned to lineup
2015-01-30,Los Angeles Clippers,JJ Redick,,returned to lineup
2015-01-30,Miami Heat,Chris Andersen,,returned to lineup
2015-01-31,Memphis Grizzlies,Mike Conley,,returned to lineup
2015-01-31,Minnesota Timberwolves,,Zach LaVine,sprained left ankle (DTD)
2015-02-01,Boston Celtics,,Tayshaun Prince,hip injury (DTD)
2015-02-02,New Orleans Pelicans,Anthony Davis,,returned to lineup
2015-02-02,Dallas Mavericks,Chandler Parsons,,returned to lineup
2015-02-02,Minnesota Timberwolves,Maurice Williams,,returned to lineup
2015-02-02,Milwaukee Bucks,,Brandon Knight,sore right quadriceps (DTD)
2015-02-02,Charlotte Hornets,Marvin Williams,,returned to lineup
2015-02-03,Miami Heat,,Shawne Williams,hip injury (DTD)
2015-02-03,New York Knicks,,Pablo Prigioni,sore left hip (DTD)
2015-02-04,Minnesota Timberwolves,Zach LaVine,,returned to lineup
2015-02-04,Toronto Raptors,,Lucas Nogueira,groin injury (DTD)
2015-02-04,Denver Nuggets,,Jameer Nelson,Achilles injury (DTD)
2015-02-04,Los Angeles Lakers,Nick Young,,returned to lineup
2015-02-04,Milwaukee Bucks,,Kenyon Martin,sprained left ankle (DTD)
2015-02-04,Memphis Grizzlies,,Jordan Adams,sore left ankle (DTD)
2015-02-04,Milwaukee Bucks,Brandon Knight,,returned to lineup
2015-02-04,Los Angeles Lakers,,Jordan Hill,strained hip flexor (DTD)
2015-02-05,Cleveland Cavaliers,Brendan Haywood,,returned to lineup
2015-02-05,Los Angeles Clippers,,JJ Redick,back spasms (DTD)
2015-02-05,Dallas Mavericks,,Dirk Nowitzki,rest (DTD)
2015-02-05,Washington Wizards,,Kevin Seraphin,sprained right ankle (DTD)
2015-02-06,Oklahoma City Thunder,Perry Jones,,returned to lineup
2015-02-06,Phoenix Suns,,Alex Len,sprained right ankle (out indefinitely)
2015-02-06,Indiana Pacers,,Ian Mahinmi,sprained right ankle (DTD)
2015-02-06,Los Angeles Lakers,,Ronnie Price,elbow injury (DTD)
2015-02-06,Toronto Raptors,Lucas Nogueira,,returned to lineup
2015-02-06,Miami Heat,,Hassan Whiteside,sprained ankle (DTD)
2015-02-06,New York Knicks,Cole Aldrich,,returned to lineup
2015-02-06,Philadelphia 76ers,,Michael Carter-Williams,strained right big toe (DTD)
2015-02-06,Los Angeles Clippers,,Hidayet Turkoglu,stomach virus (DTD)
2015-02-06,Milwaukee Bucks,Ersan Ilyasova,,returned to lineup
2015-02-07,Boston Celtics,Tayshaun Prince,,returned to lineup
2015-02-07,Utah Jazz,,Joe Ingles,back spasms (DTD)
2015-02-07,New York Knicks,Travis Wear,,returned to lineup
2015-02-07,Nets,,Kevin Garnett,rest (DTD)
2015-02-07,Washington Wizards,Kevin Seraphin,,returned to lineup
2015-02-07,Memphis Grizzlies,Jordan Adams,,returned to lineup
2015-02-07,Dallas Mavericks,Dirk Nowitzki,,returned to lineup
2015-02-08,Indiana Pacers,,Lavoy Allen,sore right knee (DTD)
2015-02-08,Los Angeles Clippers,,Blake Griffin,right elbow injury (out indefinitely)
2015-02-08,Los Angeles Clippers,Hidayet Turkoglu,,returned to lineup
2015-02-08,Charlotte Hornets,,Michael Kidd-Gilchrist,strained right hamstring (DTD)
2015-02-09,Oklahoma City Thunder,Anthony Morrow,,returned to lineup
2015-02-09,Oklahoma City Thunder,,Steven Adams,surgery on right finger to repair fracture (out indefinitely)
2015-02-09,New Orleans Pelicans,,Anthony Davis,sprained right shoulder (DTD)
2015-02-09,Minnesota Timberwolves,Shabazz Muhammad,,returned to lineup
2015-02-09,Nets,Kevin Garnett,,returned to lineup
2015-02-09,New Orleans Pelicans,,Ryan Anderson,sore/sprained right elbow (DTD)
2015-02-09,Miami Heat,Hassan Whiteside,,returned to lineup
2015-02-09,Miami Heat,,James Ennis,knee injury (DTD)
2015-02-09,Orlando Magic,,Tobias Harris,sore right knee (DTD)
2015-02-09,Los Angeles Clippers,JJ Redick,,returned to lineup
2015-02-09,Los Angeles Clippers,,Blake Griffin,surgery on right elbow to remove staph infection
2015-02-09,Milwaukee Bucks,Zaur Pachulia,,returned to lineup
2015-02-10,Detroit Pistons,,Cartier Martin,sprained right ankle (DTD)
2015-02-10,Detroit Pistons,,Caron Butler,back spasms (DTD)
2015-02-10,Denver Nuggets,JaVale McGee,,returned to lineup
2015-02-10,Denver Nuggets,,Erick Green,hip pointer (DTD)
2015-02-10,Sacramento Kings,Rudy Gay,,returned to lineup
2015-02-10,Sacramento Kings,,Derrick Williams,ankle injury (DTD)
2015-02-11,Sacramento Kings,Derrick Williams,,returned to lineup
2015-02-11,New York Knicks,Pablo Prigioni,,returned to lineup
2015-02-11,Washington Wizards,,Kris Humphries,sore lower back (DTD)
2015-02-12,Cleveland Cavaliers,,Kevin Love,right eye injury (DTD)
2015-02-19,Phoenix Suns,Kendall Marshall,,returned to lineup
2015-02-19,Milwaukee Bucks,Kenyon Martin,,returned to lineup
2015-02-19,Los Angeles Clippers,,Austin Rivers,left ankle injury / sore left foot (DTD)
2015-02-19,New York Knicks,,Carmelo Anthony,surgery on left knee to repair patellar tendon (out for season)
2015-02-20,Nets,,Jarrett Jack,sore left hamstring (DTD)
2015-02-20,Phoenix Suns,Alex Len,,returned to lineup
2015-02-20,Detroit Pistons,Cartier Martin,,returned to lineup
2015-02-20,New Orleans Pelicans,Ryan Anderson,,returned to lineup
2015-02-20,New Orleans Pelicans,Anthony Davis,,returned to lineup
2015-02-20,Denver Nuggets,Erick Green,,returned to lineup
2015-02-20,Denver Nuggets,,Ty Lawson,unspecified (DTD)
2015-02-20,Los Angeles Lakers,Ronnie Price,,returned to lineup
2015-02-20,Los Angeles Lakers,Jordan Hill,,returned to lineup
2015-02-20,New York Knicks,,Shane Larkin,illness (DTD)
2015-02-20,Utah Jazz,Joe Ingles,,returned to lineup
2015-02-20,Miami Heat,James Ennis,,returned to lineup
2015-02-20,Cleveland Cavaliers,Kevin Love,,returned to lineup
2015-02-20,Milwaukee Bucks,,Ersan Ilyasova,illness (DTD)
2015-02-20,Washington Wizards,,Kevin Seraphin,flu (DTD)
2015-02-20,Washington Wizards,Kris Humphries,,returned to lineup
2015-02-21,Minnesota Timberwolves,,Anthony Bennett,sprained right ankle (DTD)
2015-02-21,Charlotte Hornets,Michael Kidd-Gilchrist,,returned to lineup
2015-02-21,Minnesota Timberwolves,,Shabazz Muhammad,ruptured ligament in left middle finger (out for season)
2015-02-21,Milwaukee Bucks,Ersan Ilyasova,,returned to lineup
2015-02-21,Los Angeles Clippers,Austin Rivers,,returned to lineup
2015-02-22,Portland Trailblazers,,LaMarcus Aldridge,sprained right thumb (DTD)
