Team,Year,Game_num,Date,Away_flag,Opponent,OT_flag
Atlanta Hawks,2012,81,2013-04-16,,Toronto Raptors,
Atlanta Hawks,2012,82,2013-04-17,@,New York Knicks,
Atlanta Hawks,2012,83,2013-04-21,@,Indiana Pacers,
Atlanta Hawks,2012,84,2013-04-24,@,Indiana Pacers,
Atlanta Hawks,2012,85,2013-04-27,,Indiana Pacers,
Atlanta Hawks,2012,86,2013-04-29,,Indiana Pacers,
Atlanta Hawks,2012,87,2013-05-01,@,Indiana Pacers,
Atlanta Hawks,2012,88,2013-05-03,,Indiana Pacers,
Atlanta Hawks,2013,1,2013-10-30,@,Dallas Mavericks,
Atlanta Hawks,2013,2,2013-11-01,,Toronto Raptors,
Atlanta Hawks,2013,3,2013-11-03,@,Los Angeles Lakers,
Atlanta Hawks,2013,4,2013-11-05,@,Sacramento Kings,
Atlanta Hawks,2013,5,2013-11-07,@,Denver Nuggets,
Atlanta Hawks,2013,6,2013-11-09,,Orlando Magic,
Atlanta Hawks,2013,7,2013-11-11,@,Charlotte Bobcats,
Atlanta Hawks,2013,8,2013-11-13,,New York Knicks,
Atlanta Hawks,2013,9,2013-11-15,,Philadelphia 76ers,
Atlanta Hawks,2013,10,2013-11-16,@,New York Knicks,
Atlanta Hawks,2013,11,2013-11-19,@,Miami Heat,
Atlanta Hawks,2013,12,2013-11-20,,Detroit Pistons,
Atlanta Hawks,2013,13,2013-11-22,@,Detroit Pistons,
Atlanta Hawks,2013,14,2013-11-23,,Boston Celtics,
Atlanta Hawks,2013,15,2013-11-26,,Orlando Magic,
Atlanta Hawks,2013,16,2013-11-27,@,Houston Rockets,
Atlanta Hawks,2013,17,2013-11-29,,Dallas Mavericks,
Atlanta Hawks,2013,18,2013-11-30,@,Washington Wizards,
Atlanta Hawks,2013,19,2013-12-02,@,San Antonio Spurs,
Atlanta Hawks,2013,20,2013-12-04,,Los Angeles Clippers,
Atlanta Hawks,2013,21,2013-12-06,,Cleveland Cavaliers,
Atlanta Hawks,2013,22,2013-12-10,,Oklahoma City Thunder,
Atlanta Hawks,2013,23,2013-12-13,,Washington Wizards,OT
Atlanta Hawks,2013,24,2013-12-14,@,New York Knicks,
Atlanta Hawks,2013,25,2013-12-16,,Los Angeles Lakers,
Atlanta Hawks,2013,26,2013-12-18,,Sacramento Kings,
Atlanta Hawks,2013,27,2013-12-20,,Utah Jazz,
Atlanta Hawks,2013,28,2013-12-23,@,Miami Heat,OT
Atlanta Hawks,2013,29,2013-12-26,@,Cleveland Cavaliers,2OT
Atlanta Hawks,2013,30,2013-12-28,,Charlotte Bobcats,OT
Atlanta Hawks,2013,31,2013-12-29,@,Orlando Magic,
Atlanta Hawks,2013,32,2013-12-31,@,Boston Celtics,
Atlanta Hawks,2013,33,2014-01-03,,Golden State Warriors,
Atlanta Hawks,2013,34,2014-01-04,@,Chicago Bulls,
Atlanta Hawks,2013,35,2014-01-06,@,Brooklyn Nets,
Atlanta Hawks,2013,36,2014-01-08,,Indiana Pacers,
Atlanta Hawks,2013,37,2014-01-10,,Houston Rockets,
Atlanta Hawks,2013,38,2014-01-12,@,Memphis Grizzlies,
Atlanta Hawks,2013,39,2014-01-16,,Brooklyn Nets,
Atlanta Hawks,2013,40,2014-01-20,,Miami Heat,
Atlanta Hawks,2013,41,2014-01-22,@,Orlando Magic,
Atlanta Hawks,2013,42,2014-01-24,,San Antonio Spurs,
Atlanta Hawks,2013,43,2014-01-25,@,Milwaukee Bucks,
Atlanta Hawks,2013,44,2014-01-27,@,Oklahoma City Thunder,
Atlanta Hawks,2013,45,2014-01-31,@,Philadelphia 76ers,
Atlanta Hawks,2013,46,2014-02-01,,Minnesota Timberwolves,
Atlanta Hawks,2013,47,2014-02-04,,Indiana Pacers,
Atlanta Hawks,2013,48,2014-02-05,@,New Orleans Pelicans,
Atlanta Hawks,2013,49,2014-02-08,,Memphis Grizzlies,
Atlanta Hawks,2013,50,2014-02-11,@,Chicago Bulls,
Atlanta Hawks,2013,51,2014-02-12,@,Toronto Raptors,
Atlanta Hawks,2013,52,2014-02-18,@,Indiana Pacers,
Atlanta Hawks,2013,53,2014-02-19,,Washington Wizards,
Atlanta Hawks,2013,54,2014-02-21,@,Detroit Pistons,
Atlanta Hawks,2013,55,2014-02-22,,New York Knicks,
Atlanta Hawks,2013,56,2014-02-25,,Chicago Bulls,
Atlanta Hawks,2013,57,2014-02-26,@,Boston Celtics,
