Year,Season,Player,Pos,Age,Team,G,GS,MPPG
2014,regular,Kevin Durant,SF,26,Oklahoma City Thunder,27,27,33.8
2014,regular,Cleanthony Early,SF,23,New York Knicks,39,7,16.6
2014,regular,Wayne Ellington,SG,27,Los Angeles Lakers,65,36,25.8
2014,regular,Monta Ellis,SG,29,Dallas Mavericks,80,80,33.7
2014,regular,James Ennis III,SF,24,Miami Heat,62,3,17.0
2014,regular,Tyler Ennis,PG,20,TOT,33,1,12.5
2014,regular,Tyler Ennis,PG,20,Phoenix Suns,8,0,7.3
2014,regular,Tyler Ennis,PG,20,Milwaukee Bucks,25,1,14.1
2014,regular,Jeremy Evans,SF,27,Utah Jazz,38,0,7.0
2014,regular,Reggie Evans,PF,34,Sacramento Kings,47,7,16.3
2014,regular,Tyreke Evans,SG,25,New Orleans Pelicans,79,76,34.1
2014,regular,Dante Exum,PG,19,Utah Jazz,82,41,22.2
2014,regular,Festus Ezeli,C,25,Golden State Warriors,46,7,11.0
2014,regular,Kenneth Faried,PF,25,Denver Nuggets,75,71,27.8
2014,regular,Jordan Farmar,PG,28,Los Angeles Clippers,36,0,14.7
2014,regular,Derrick Favors,PF,23,Utah Jazz,74,74,30.8
2014,regular,Raymond Felton,PG,30,Dallas Mavericks,29,3,9.7
2014,regular,Landry Fields,SF,26,Toronto Raptors,26,9,8.3
2014,regular,Evan Fournier,SG,22,Orlando Magic,58,32,28.6
2014,regular,Randy Foye,SG,31,Denver Nuggets,50,21,21.7
2014,regular,Jamaal Franklin,SG,23,Denver Nuggets,3,0,4.3
2014,regular,Tim Frazier,PG,24,TOT,11,3,21.7
2014,regular,Tim Frazier,PG,24,Philadelphia 76ers,6,3,28.5
2014,regular,Tim Frazier,PG,24,Portland Trailblazers,5,0,13.6
2014,regular,Jimmer Fredette,PG,25,New Orleans Pelicans,50,0,10.2
2014,regular,Enes Freedom,C,22,TOT,75,74,28.5
2014,regular,Enes Freedom,C,22,Utah Jazz,49,48,27.1
2014,regular,Enes Freedom,C,22,Oklahoma City Thunder,26,26,31.1
2014,regular,Joel Freeland,C,27,Portland Trailblazers,48,8,12.9
2014,regular,Channing Frye,PF,31,Orlando Magic,75,51,24.9
2014,regular,Danilo Gallinari,SF,26,Denver Nuggets,59,27,24.2
2014,regular,Langston Galloway,PG,23,New York Knicks,45,41,32.4
2014,regular,Francisco Garcia,SF,33,Houston Rockets,14,0,14.3
2014,regular,Kevin Garnett,PF,38,TOT,47,47,20.3
2014,regular,Kevin Garnett,PF,38,Brooklyn Nets,42,42,20.3
2014,regular,Kevin Garnett,PF,38,Minnesota Timberwolves,5,5,19.6
2014,regular,Marc Gasol,C,30,Memphis Grizzlies,81,81,33.2
2014,regular,Pau Gasol,PF,34,Chicago Bulls,78,78,34.4
2014,regular,Rudy Gay,SF,28,Sacramento Kings,68,67,35.4
2014,regular,Alonzo Gee,SF,27,TOT,54,2,12.3
2014,regular,Alonzo Gee,SF,27,Denver Nuggets,39,0,13.1
2014,regular,Alonzo Gee,SF,27,Portland Trailblazers,15,2,10.1
2014,regular,Paul George,SF,24,Indiana Pacers,6,0,15.2
2014,regular,Taj Gibson,PF,29,Chicago Bulls,62,17,27.3
2014,regular,Manu Ginobili,SG,37,San Antonio Spurs,70,0,22.7
2014,regular,Rudy Gobert,C,22,Utah Jazz,82,37,26.3
2014,regular,Drew Gooden,PF,33,Washington Wizards,51,7,16.9
2014,regular,Archie Goodwin,SG,20,Phoenix Suns,41,2,13.0
2014,regular,Aaron Gordon,PF,19,Orlando Magic,47,8,17.0
2014,regular,Ben Gordon,SG,31,Orlando Magic,56,0,14.1
2014,regular,Drew Gordon,PF,24,Philadelphia 76ers,9,0,7.9
2014,regular,Eric Gordon,SG,26,New Orleans Pelicans,61,60,33.1
2014,regular,Marcin Gortat,C,30,Washington Wizards,82,82,29.9
2014,regular,Danny Granger,SF,31,Miami Heat,30,6,20.4
2014,regular,Jerami Grant,SF,20,Philadelphia 76ers,65,11,21.2
2014,regular,Danny Green,SG,27,San Antonio Spurs,81,80,28.5
2014,regular,Draymond Green,PF,24,Golden State Warriors,79,79,31.5
2014,regular,Erick Green,PG,23,Denver Nuggets,43,1,9.5
2014,regular,Gerald Green,SG,29,Phoenix Suns,74,4,19.5
2014,regular,JaMychal Green,PF,24,TOT,24,1,6.8
2014,regular,JaMychal Green,PF,24,San Antonio Spurs,4,0,6.3
2014,regular,JaMychal Green,PF,24,Memphis Grizzlies,20,1,7.0
2014,regular,Jeff Green,SF,28,TOT,78,70,31.5
2014,regular,Jeff Green,SF,28,Boston Celtics,33,33,33.1
2014,regular,Jeff Green,SF,28,Memphis Grizzlies,45,37,30.2
2014,regular,Willie Green,SG,33,Orlando Magic,52,2,18.3
2014,regular,Blake Griffin,PF,25,Los Angeles Clippers,67,67,35.2
2014,regular,Jorge Gutierrez,PG,26,TOT,20,1,8.8
2014,regular,Jorge Gutierrez,PG,26,Brooklyn Nets,10,0,4.4
2014,regular,Jorge Gutierrez,PG,26,Milwaukee Bucks,10,1,13.1
2014,regular,P.J. Hairston,SG,22,Charlotte Hornets,45,2,15.3
2014,regular,Jordan Hamilton,SF,24,Los Angeles Clippers,14,2,8.7
2014,regular,Justin Hamilton,C,24,TOT,41,14,17.4
2014,regular,Justin Hamilton,C,24,Miami Heat,24,5,12.0
2014,regular,Justin Hamilton,C,24,Minnesota Timberwolves,17,9,24.9
2014,regular,Tyler Hansbrough,PF,29,Toronto Raptors,74,8,14.3
2014,regular,Tim Hardaway Jr.,SG,22,New York Knicks,70,30,24.0
2014,regular,James Harden,SG,25,Houston Rockets,81,81,36.8
2014,regular,Maurice Harkless,SF,21,Orlando Magic,45,4,15.0
2014,regular,Devin Harris,PG,31,Dallas Mavericks,76,3,22.2
2014,regular,Gary Harris,SG,20,Denver Nuggets,55,6,13.1
2014,regular,Joe Harris,SG,23,Cleveland Cavaliers,51,1,9.7
2014,regular,Tobias Harris,SF,22,Orlando Magic,68,63,34.8
2014,regular,Udonis Haslem,PF,34,Miami Heat,62,25,16.0
2014,regular,Spencer Hawes,PF,26,Los Angeles Clippers,73,15,17.5
2014,regular,Chuck Hayes,C,31,Toronto Raptors,29,0,8.8
2014,regular,Gordon Hayward,SF,24,Utah Jazz,76,76,34.4
2014,regular,Brendan Haywood,C,35,Cleveland Cavaliers,22,1,5.4
2014,regular,Gerald Henderson,SG,27,Charlotte Hornets,80,72,28.9
2014,regular,Xavier Henry,SF,23,Los Angeles Lakers,9,0,9.6
2014,regular,John Henson,C,24,Milwaukee Bucks,67,11,18.3
2014,regular,Roy Hibbert,C,28,Indiana Pacers,76,76,25.3
2014,regular,J.J. Hickson,C,26,Denver Nuggets,73,8,19.3
2014,regular,Nene,PF,32,Washington Wizards,67,58,25.3
2014,regular,George Hill,PG,28,Indiana Pacers,43,36,29.5
2014,regular,Jordan Hill,C,27,Los Angeles Lakers,70,57,26.8
2014,regular,Solomon Hill,SF,23,Indiana Pacers,82,78,29.0
2014,regular,Kirk Hinrich,SG,34,Chicago Bulls,66,22,24.4
2014,regular,Jrue Holiday,PG,24,New Orleans Pelicans,40,37,32.6
2014,regular,Justin Holiday,SG,25,Golden State Warriors,59,4,11.1
2014,regular,Ryan Hollins,C,30,Sacramento Kings,46,9,9.6
2014,regular,Rodney Hood,SG,22,Utah Jazz,50,21,21.3
2014,regular,Al Horford,C,28,Atlanta Hawks,76,76,30.5
2014,regular,Dwight Howard,C,29,Houston Rockets,41,41,29.8
2014,regular,Lester Hudson,SG,30,Los Angeles Clippers,5,0,11.2
2014,regular,Robbie Hummel,SF,25,Minnesota Timberwolves,45,4,16.5
2014,regular,Kris Humphries,PF,29,Washington Wizards,64,17,21.0
2014,regular,Serge Ibaka,PF,25,Oklahoma City Thunder,64,64,33.1
2014,regular,Andre Iguodala,SF,31,Golden State Warriors,77,0,26.9
2014,regular,Ersan Ilyasova,PF,27,Milwaukee Bucks,58,36,22.7
2014,regular,Joe Ingles,SF,27,Utah Jazz,79,32,21.2
2014,regular,Kyrie Irving,PG,22,Cleveland Cavaliers,75,75,36.4
2014,regular,Jarrett Jack,PG,31,Brooklyn Nets,80,27,28.0
2014,regular,Reggie Jackson,PG,24,TOT,77,40,29.5
2014,regular,Reggie Jackson,PG,24,Oklahoma City Thunder,50,13,28.0
2014,regular,Reggie Jackson,PG,24,Detroit Pistons,27,27,32.2
2014,regular,Bernard James,C,29,Dallas Mavericks,16,2,9.9
2014,regular,LeBron James,SF,30,Cleveland Cavaliers,69,69,36.1
2014,regular,Al Jefferson,C,30,Charlotte Hornets,65,61,30.6
2014,regular,Cory Jefferson,PF,24,Brooklyn Nets,50,1,10.6
2014,regular,Richard Jefferson,SF,34,Dallas Mavericks,74,18,16.8
2014,regular,John Jenkins,SG,23,Atlanta Hawks,24,3,12.4
2014,regular,Brandon Jennings,PG,25,Detroit Pistons,41,41,28.6
2014,regular,Jonas Jerebko,PF,27,TOT,75,0,16.4
2014,regular,Jonas Jerebko,PF,27,Detroit Pistons,46,0,15.3
2014,regular,Jonas Jerebko,PF,27,Boston Celtics,29,0,18.2
2014,regular,Grant Jerrett,PF,21,TOT,8,0,6.4
2014,regular,Grant Jerrett,PF,21,Oklahoma City Thunder,5,0,5.0
2014,regular,Grant Jerrett,PF,21,Utah Jazz,3,0,8.7
2014,regular,Amir Johnson,PF,27,Toronto Raptors,75,72,26.4
2014,regular,Chris Johnson,SF,24,TOT,29,2,18.1
2014,regular,Chris Johnson,SF,24,Philadelphia 76ers,9,2,20.8
2014,regular,Chris Johnson,SF,24,Utah Jazz,12,0,17.6
2014,regular,Chris Johnson,SF,24,Milwaukee Bucks,8,0,16.0
2014,regular,James Johnson,PF,27,Toronto Raptors,70,17,19.6
2014,regular,Joe Johnson,SG,33,Brooklyn Nets,80,80,34.9
2014,regular,Nick Johnson,SG,22,Houston Rockets,28,0,9.4
2014,regular,Tyler Johnson,SG,22,Miami Heat,32,2,18.8
2014,regular,Wesley Johnson,SF,27,Los Angeles Lakers,76,59,29.5
2014,regular,Dahntay Jones,SF,34,Los Angeles Clippers,33,0,3.7
2014,regular,James Jones,SF,34,Cleveland Cavaliers,57,2,11.7
2014,regular,Perry Jones,SF,23,Oklahoma City Thunder,43,13,14.7
2014,regular,Terrence Jones,PF,23,Houston Rockets,33,24,26.9
2014,regular,DeAndre Jordan,C,26,Los Angeles Clippers,82,82,34.4
2014,regular,Jerome Jordan,C,28,Brooklyn Nets,44,0,8.7
2014,regular,Cory Joseph,PG,23,San Antonio Spurs,79,14,18.3
2014,regular,Chris Kaman,C,32,Portland Trailblazers,74,13,18.9
2014,regular,Sergey Karasev,SG,21,Brooklyn Nets,33,16,16.8
2014,regular,Ryan Kelly,PF,23,Los Angeles Lakers,52,34,23.7
2014,regular,Michael Kidd-Gilchrist,SF,21,Charlotte Hornets,55,52,28.9
2014,regular,Sean Kilpatrick,SG,25,Minnesota Timberwolves,4,0,18.0
2014,regular,Andrei Kirilenko,SF,33,Brooklyn Nets,7,0,5.1
2014,regular,Alex Kirk,C,23,Cleveland Cavaliers,5,0,2.8
2014,regular,Brandon Knight,PG-SG,23,TOT,63,61,32.3
2014,regular,Brandon Knight,PG,23,Milwaukee Bucks,52,52,32.5
2014,regular,Brandon Knight,SG,23,Phoenix Suns,11,9,31.5
2014,regular,Kyle Korver,SG,33,Atlanta Hawks,75,75,32.2
2014,regular,Kosta Koufos,C,25,Memphis Grizzlies,81,3,16.6
2014,regular,Ognjen Kuzmic,C,24,Golden State Warriors,16,0,4.5
2014,regular,Jeremy Lamb,SG,22,Oklahoma City Thunder,47,8,13.5
2014,regular,Carl Landry,PF,31,Sacramento Kings,70,15,17.0
2014,regular,Shane Larkin,PG,22,New York Knicks,76,22,24.5
2014,regular,Joffrey Lauvergne,C,23,Denver Nuggets,24,1,11.2
2014,regular,Zach LaVine,PG,19,Minnesota Timberwolves,77,40,24.7
2014,regular,Ty Lawson,PG,27,Denver Nuggets,75,75,35.5
2014,regular,Ricky Ledo,SG,22,TOT,17,0,14.4
2014,regular,Ricky Ledo,SG,22,Dallas Mavericks,5,0,2.2
2014,regular,Ricky Ledo,SG,22,New York Knicks,12,0,19.4
2014,regular,Courtney Lee,SG,29,Memphis Grizzlies,77,74,30.6
2014,regular,David Lee,PF,31,Golden State Warriors,49,4,18.4
2014,regular,Malcolm Lee,SG,24,Philadelphia 76ers,1,0,2.0
2014,regular,Alex Len,C,21,Phoenix Suns,69,44,22.0
2014,regular,Kawhi Leonard,SF,23,San Antonio Spurs,64,64,31.8
2014,regular,Meyers Leonard,C,22,Portland Trailblazers,55,7,15.4
2014,regular,Jon Leuer,PF,25,Memphis Grizzlies,63,6,13.1
2014,regular,Damian Lillard,PG,24,Portland Trailblazers,82,82,35.7
2014,regular,Jeremy Lin,PG,26,Los Angeles Lakers,74,30,25.8
2014,regular,Shaun Livingston,PG,29,Golden State Warriors,78,2,18.8
2014,regular,Brook Lopez,C,26,Brooklyn Nets,72,44,29.2
2014,regular,Robin Lopez,C,26,Portland Trailblazers,59,59,27.8
2014,regular,Kevin Love,PF,26,Cleveland Cavaliers,75,75,33.8
2014,regular,Kyle Lowry,PG,28,Toronto Raptors,70,70,34.5
2014,regular,Kalin Lucas,PG,25,Memphis Grizzlies,1,0,6.0
2014,regular,John Lucas III,PG,32,Detroit Pistons,21,0,13.0
2014,regular,Shelvin Mack,PG,24,Atlanta Hawks,55,0,15.1
2014,regular,Ian Mahinmi,C,28,Indiana Pacers,61,6,18.8
2014,regular,Devyn Marble,SG,22,Orlando Magic,16,7,13.0
2014,regular,Shawn Marion,SF,36,Cleveland Cavaliers,57,24,19.3
2014,regular,Kendall Marshall,PG,23,Milwaukee Bucks,28,3,14.9
2014,regular,Cartier Martin,SF,30,Detroit Pistons,23,0,8.6
2014,regular,Kenyon Martin,PF,37,Milwaukee Bucks,11,0,9.5
2014,regular,Kevin Martin,SG,31,Minnesota Timberwolves,39,36,33.4
2014,regular,Wesley Matthews,SG,28,Portland Trailblazers,60,60,33.7
2014,regular,Jason Maxiell,PF,31,Charlotte Hornets,61,0,14.4
2014,regular,O.J. Mayo,SG,27,Milwaukee Bucks,71,15,23.9
2014,regular,Luc Mbah a Moute,PF,28,Philadelphia 76ers,67,61,28.6
2014,regular,James Michael McAdoo,PF,22,Golden State Warriors,15,0,9.1
2014,regular,Ray McCallum,PG,23,Sacramento Kings,68,30,21.1
2014,regular,CJ McCollum,SG,23,Portland Trailblazers,62,3,15.7
2014,regular,K.J. McDaniels,SG,21,TOT,62,15,21.8
2014,regular,K.J. McDaniels,SG,21,Philadelphia 76ers,52,15,25.4
2014,regular,K.J. McDaniels,SG,21,Houston Rockets,10,0,3.3
2014,regular,Doug McDermott,SF,23,Chicago Bulls,36,0,8.9
2014,regular,Mitch McGary,PF,22,Oklahoma City Thunder,32,2,15.2
2014,regular,JaVale McGee,C,27,TOT,23,0,11.1
2014,regular,JaVale McGee,C,27,Denver Nuggets,17,0,11.5
2014,regular,JaVale McGee,C,27,Philadelphia 76ers,6,0,10.2
2014,regular,Ben McLemore,SG,21,Sacramento Kings,82,82,32.6
2014,regular,Jerel McNeal,PG,27,Phoenix Suns,6,0,6.0
2014,regular,Josh McRoberts,PF,27,Miami Heat,17,4,17.4
2014,regular,Jodie Meeks,SG,27,Detroit Pistons,60,0,24.4
2014,regular,Gal Mekel,PG,26,New Orleans Pelicans,4,0,10.8
2014,regular,Khris Middleton,SF,23,Milwaukee Bucks,79,58,30.1
2014,regular,C.J. Miles,SG,27,Indiana Pacers,70,40,26.3
2014,regular,Andre Miller,PG,38,TOT,81,0,15.5
2014,regular,Andre Miller,PG,38,Washington Wizards,51,0,12.4
2014,regular,Andre Miller,PG,38,Sacramento Kings,30,0,20.7
2014,regular,Darius Miller,SF,24,New Orleans Pelicans,5,1,8.6
2014,regular,Mike Miller,SF,34,Cleveland Cavaliers,52,15,13.5
2014,regular,Quincy Miller,PF,22,TOT,10,0,11.9
2014,regular,Quincy Miller,PF,22,Sacramento Kings,6,0,10.2
2014,regular,Quincy Miller,PF,22,Detroit Pistons,4,0,14.5
2014,regular,Patty Mills,PG,26,San Antonio Spurs,51,0,15.7
2014,regular,Elijah Millsap,SG,27,Utah Jazz,47,5,19.7
2014,regular,Paul Millsap,PF,29,Atlanta Hawks,73,73,32.7
2014,regular,Nikola Mirotic,PF,23,Chicago Bulls,82,3,20.2
2014,regular,Nazr Mohammed,C,37,Chicago Bulls,23,0,5.6
2014,regular,Greg Monroe,PF,24,Detroit Pistons,69,57,31.0
2014,regular,E'Twaun Moore,SG,25,Chicago Bulls,56,0,9.0
2014,regular,Eric Moreland,PF,23,Sacramento Kings,3,0,0.7
2014,regular,Darius Morris,PG,24,Brooklyn Nets,38,0,7.9
2014,regular,Marcus Morris,PF,25,Phoenix Suns,81,35,25.2
2014,regular,Markieff Morris,PF,25,Phoenix Suns,82,82,31.5
2014,regular,Anthony Morrow,SG,29,Oklahoma City Thunder,74,0,24.4
2014,regular,Donatas Motiejunas,PF,24,Houston Rockets,71,62,28.7
2014,regular,Timofey Mozgov,C,28,TOT,81,80,25.2
2014,regular,Timofey Mozgov,C,28,Denver Nuggets,35,35,25.6
2014,regular,Timofey Mozgov,C,28,Cleveland Cavaliers,46,45,25.0
2014,regular,Shabazz Muhammad,SG,22,Minnesota Timberwolves,38,13,22.8
2014,regular,Toure' Murry,SG-PG,25,TOT,5,0,3.6
2014,regular,Toure' Murry,PG,25,Utah Jazz,1,0,1.0
2014,regular,Toure' Murry,SG,25,Washington Wizards,4,0,4.3
2014,regular,Mike Muscala,PF,23,Atlanta Hawks,40,8,12.6
2014,regular,Shabazz Napier,PG,23,Miami Heat,51,10,19.8
2014,regular,Gary Neal,SG,30,TOT,54,1,22.1
2014,regular,Gary Neal,SG,30,Charlotte Hornets,43,0,21.7
2014,regular,Gary Neal,SG,30,Minnesota Timberwolves,11,1,23.8
2014,regular,Jameer Nelson,PG,32,TOT,63,29,22.3
2014,regular,Jameer Nelson,PG,32,Dallas Mavericks,23,23,25.4
2014,regular,Jameer Nelson,PG,32,Boston Celtics,6,1,20.2
2014,regular,Jameer Nelson,PG,32,Denver Nuggets,34,5,20.6
2014,regular,Andrew Nicholson,PF,25,Orlando Magic,40,3,12.3
2014,regular,Joakim Noah,C,29,Chicago Bulls,67,67,30.6
2014,regular,Nerlens Noel,C,20,Philadelphia 76ers,75,71,30.8
2014,regular,Lucas Nogueira,C,22,Toronto Raptors,6,0,3.8
2014,regular,Steve Novak,SF-PF,31,TOT,35,0,5.6
2014,regular,Steve Novak,SF,31,Utah Jazz,22,0,5.0
2014,regular,Steve Novak,PF,31,Oklahoma City Thunder,13,0,6.8
2014,regular,Dirk Nowitzki,PF,36,Dallas Mavericks,77,77,29.6
2014,regular,Jusuf Nurkic,C,20,Denver Nuggets,62,27,17.8
2014,regular,Johnny O'Bryant,PF,21,Milwaukee Bucks,34,15,10.8
2014,regular,Kyle O'Quinn,PF,24,Orlando Magic,51,17,16.2
2014,regular,Victor Oladipo,SG,22,Orlando Magic,72,71,35.7
2014,regular,Kelly Olynyk,C,23,Boston Celtics,64,13,22.2
2014,regular,Arinze Onuaku,C,27,Minnesota Timberwolves,6,1,11.3
2014,regular,Zaza Pachulia,C,30,Milwaukee Bucks,73,45,23.7
2014,regular,Kostas Papanikolaou,SF,24,Houston Rockets,43,1,18.5
2014,regular,Jannero Pargo,PG,35,Charlotte Hornets,9,0,8.1
2014,regular,Jabari Parker,PF,19,Milwaukee Bucks,25,25,29.5
2014,regular,Tony Parker,PG,32,San Antonio Spurs,68,68,28.7
2014,regular,Chandler Parsons,SF,26,Dallas Mavericks,66,66,33.1
2014,regular,Patrick Patterson,PF,25,Toronto Raptors,81,4,26.6
2014,regular,Chris Paul,PG,29,Los Angeles Clippers,82,82,34.8
2014,regular,Adreian Payne,PF,23,TOT,32,22,23.1
2014,regular,Adreian Payne,PF,23,Atlanta Hawks,3,0,6.3
2014,regular,Adreian Payne,PF,23,Minnesota Timberwolves,29,22,24.8
2014,regular,Elfrid Payton,PG,20,Orlando Magic,82,63,30.4
2014,regular,Nikola Pekovic,C,29,Minnesota Timberwolves,31,29,26.3
2014,regular,Kendrick Perkins,C,30,TOT,68,3,16.9
2014,regular,Kendrick Perkins,C,30,Oklahoma City Thunder,51,3,19.2
2014,regular,Kendrick Perkins,C,30,Cleveland Cavaliers,17,0,9.8
2014,regular,Paul Pierce,SF,37,Washington Wizards,73,73,26.2
2014,regular,Mason Plumlee,C,24,Brooklyn Nets,82,45,21.3
2014,regular,Miles Plumlee,C,26,TOT,73,28,16.4
2014,regular,Miles Plumlee,C,26,Phoenix Suns,54,28,18.6
2014,regular,Miles Plumlee,C,26,Milwaukee Bucks,19,0,9.9
2014,regular,Quincy Pondexter,SF-SG,26,TOT,75,30,23.9
2014,regular,Quincy Pondexter,SG,26,Memphis Grizzlies,30,2,18.0
2014,regular,Quincy Pondexter,SF,26,New Orleans Pelicans,45,28,27.8
2014,regular,Otto Porter Jr.,SF,21,Washington Wizards,74,13,19.4
2014,regular,Dwight Powell,PF,23,TOT,29,0,8.1
2014,regular,Dwight Powell,PF,23,Boston Celtics,5,0,1.8
2014,regular,Dwight Powell,PF,23,Dallas Mavericks,24,0,9.5
2014,regular,Phil Pressey,PG,23,Boston Celtics,50,0,12.0
2014,regular,A.J. Price,PG,28,TOT,26,0,12.5
2014,regular,A.J. Price,PG,28,Indiana Pacers,10,0,19.3
2014,regular,A.J. Price,PG,28,Cleveland Cavaliers,11,0,7.9
2014,regular,A.J. Price,PG,28,Phoenix Suns,5,0,8.8
2014,regular,Ronnie Price,PG,31,Los Angeles Lakers,43,20,22.8
2014,regular,Pablo Prigioni,PG,37,TOT,67,3,17.9
2014,regular,Pablo Prigioni,PG,37,New York Knicks,43,3,18.5
2014,regular,Pablo Prigioni,PG,37,Houston Rockets,24,0,16.8
2014,regular,Tayshaun Prince,SF,34,TOT,58,16,24.1
2014,regular,Tayshaun Prince,SF,34,Memphis Grizzlies,26,9,24.2
2014,regular,Tayshaun Prince,SF,34,Boston Celtics,9,0,22.0
2014,regular,Tayshaun Prince,SF,34,Detroit Pistons,23,7,24.8
2014,regular,Miroslav Raduljica,C,27,Minnesota Timberwolves,5,0,4.6
2014,regular,Julius Randle,PF,20,Los Angeles Lakers,1,0,14.0
2014,regular,Shavlik Randolph,PF,31,TOT,21,0,6.0
2014,regular,Shavlik Randolph,PF,31,Phoenix Suns,16,0,6.3
2014,regular,Shavlik Randolph,PF,31,Boston Celtics,5,0,5.0
2014,regular,Zach Randolph,PF,33,Memphis Grizzlies,71,71,32.5
2014,regular,JJ Redick,SG,30,Los Angeles Clippers,78,78,30.9
2014,regular,Glen Rice Jr.,SG,24,Washington Wizards,5,0,8.6
2014,regular,Jason Richardson,SG,34,Philadelphia 76ers,19,15,21.9
2014,regular,Luke Ridnour,PG,33,Orlando Magic,47,0,14.5
2014,regular,Austin Rivers,SG,22,TOT,76,5,20.6
2014,regular,Austin Rivers,SG,22,New Orleans Pelicans,35,3,22.1
2014,regular,Austin Rivers,SG,22,Los Angeles Clippers,41,2,19.3
2014,regular,Andre Roberson,SG,23,Oklahoma City Thunder,67,65,19.2
2014,regular,Brian Roberts,PG,29,Charlotte Hornets,72,10,18.5
2014,regular,Glenn Robinson III,SG-SF,21,TOT,35,1,7.5
2014,regular,Glenn Robinson III,SG,21,Minnesota Timberwolves,25,0,4.3
2014,regular,Glenn Robinson III,SF,21,Philadelphia 76ers,10,1,15.3
2014,regular,Nate Robinson,PG,30,TOT,42,1,14.1
2014,regular,Nate Robinson,PG,30,Denver Nuggets,33,1,14.1
2014,regular,Nate Robinson,PG,30,Los Angeles Clippers,9,0,14.0
2014,regular,Thomas Robinson,PF,23,TOT,54,4,14.8
2014,regular,Thomas Robinson,PF,23,Portland Trailblazers,32,4,12.2
2014,regular,Thomas Robinson,PF,23,Philadelphia 76ers,22,0,18.5
2014,regular,Rajon Rondo,PG,28,TOT,68,68,29.7
2014,regular,Rajon Rondo,PG,28,Boston Celtics,22,22,31.8
2014,regular,Rajon Rondo,PG,28,Dallas Mavericks,46,46,28.7
2014,regular,Derrick Rose,PG,26,Chicago Bulls,51,51,30.0
2014,regular,Terrence Ross,SF,23,Toronto Raptors,82,61,25.5
2014,regular,Ricky Rubio,PG,24,Minnesota Timberwolves,22,22,31.5
2014,regular,Damjan Rudez,SF,28,Indiana Pacers,68,2,15.4
2014,regular,Brandon Rush,SG,29,Golden State Warriors,33,0,8.2
2014,regular,Robert Sacre,C,25,Los Angeles Lakers,67,18,16.9
2014,regular,John Salmons,SF,35,New Orleans Pelicans,21,0,12.9
2014,regular,JaKarr Sampson,SF,21,Philadelphia 76ers,74,32,15.3
2014,regular,Larry Sanders,C,26,Milwaukee Bucks,27,26,21.7
2014,regular,Dennis Schroder,PG,21,Atlanta Hawks,77,10,19.7
2014,regular,Luis Scola,PF,34,Indiana Pacers,81,16,20.5
2014,regular,Mike Scott,PF,26,Atlanta Hawks,68,0,16.5
2014,regular,Thabo Sefolosha,SF,30,Atlanta Hawks,52,7,18.8
2014,regular,Kevin Seraphin,C,25,Washington Wizards,79,0,15.6
2014,regular,Ramon Sessions,PG,28,TOT,64,10,18.6
2014,regular,Ramon Sessions,PG,28,Sacramento Kings,36,7,17.8
2014,regular,Ramon Sessions,PG,28,Washington Wizards,28,3,19.5
2014,regular,Iman Shumpert,SG,24,TOT,62,25,24.9
2014,regular,Iman Shumpert,SG,24,New York Knicks,24,24,26.0
2014,regular,Iman Shumpert,SG,24,Cleveland Cavaliers,38,1,24.2
2014,regular,Alexey Shved,SG,26,TOT,42,9,18.3
2014,regular,Alexey Shved,SG,26,Philadelphia 76ers,17,0,16.8
2014,regular,Alexey Shved,SG,26,Houston Rockets,9,0,6.6
2014,regular,Alexey Shved,SG,26,New York Knicks,16,9,26.4
2014,regular,Henry Sims,C,24,Philadelphia 76ers,73,32,19.2
2014,regular,Kyle Singler,SF,26,TOT,80,58,21.8
2014,regular,Kyle Singler,SF,26,Detroit Pistons,54,40,23.8
2014,regular,Kyle Singler,SF,26,Oklahoma City Thunder,26,18,17.5
2014,regular,Donald Sloan,PG,27,Indiana Pacers,53,21,20.9
2014,regular,Marcus Smart,PG,20,Boston Celtics,67,38,27.0
2014,regular,Greg Smith,PF,24,Dallas Mavericks,42,2,8.6
2014,regular,Ish Smith,PG,26,TOT,55,14,15.1
2014,regular,Ish Smith,PG,26,Oklahoma City Thunder,30,0,5.2
2014,regular,Ish Smith,PG,26,Philadelphia 76ers,25,14,27.1
2014,regular,J.R. Smith,SG,29,TOT,70,51,29.7
2014,regular,J.R. Smith,SG,29,New York Knicks,24,6,25.8
2014,regular,J.R. Smith,SG,29,Cleveland Cavaliers,46,45,31.8
2014,regular,Jason Smith,C,28,New York Knicks,82,31,21.8
2014,regular,Josh Smith,PF,29,TOT,83,35,27.7
2014,regular,Josh Smith,PF,29,Detroit Pistons,28,28,32.0
2014,regular,Josh Smith,PF,29,Houston Rockets,55,7,25.5
2014,regular,Russ Smith,PG,23,TOT,12,0,5.4
2014,regular,Russ Smith,PG,23,New Orleans Pelicans,6,0,4.8
2014,regular,Russ Smith,PG,23,Memphis Grizzlies,6,0,6.0
2014,regular,Tony Snell,SF,23,Chicago Bulls,72,22,19.6
2014,regular,Marreese Speights,C,27,Golden State Warriors,76,9,15.9
2014,regular,Tiago Splitter,C,30,San Antonio Spurs,52,35,19.8
2014,regular,Nik Stauskas,SG,21,Sacramento Kings,73,1,15.4
2014,regular,Lance Stephenson,SG,24,Charlotte Hornets,61,25,25.8
2014,regular,Greg Stiemsma,C,29,Toronto Raptors,17,0,3.9
