Year,Season,Player,Pos,Age,Team,G,GS,MPPG
2012,regular,Marcus Camby,PF,38,New York Knicks,24,4,10.4
2012,regular,DeMarre Carroll,SF,26,Utah Jazz,66,12,16.8
2012,regular,Matt Carroll,SG,32,Charlotte Bobcats,1,0,6.0
2012,regular,Vince Carter,SF,36,Dallas Mavericks,81,3,25.8
2012,regular,Omri Casspi,SF,24,Cleveland Cavaliers,43,1,11.7
2012,regular,Mario Chalmers,PG,26,Miami Heat,77,77,26.9
2012,regular,Tyson Chandler,C,30,New York Knicks,66,66,32.8
2012,regular,Wilson Chandler,PF,25,Denver Nuggets,43,8,25.1
2012,regular,Josh Childress,SF,29,Brooklyn Nets,14,0,7.1
2012,regular,Earl Clark,PF,25,Los Angeles Lakers,59,36,23.1
2012,regular,Victor Claver,SF,24,Portland Trailblazers,49,16,16.6
2012,regular,Norris Cole,PG,24,Miami Heat,80,4,19.9
2012,regular,Jason Collins,C,34,TOT,38,9,10.1
2012,regular,Jason Collins,C,34,Boston Celtics,32,7,10.3
2012,regular,Jason Collins,C,34,Washington Wizards,6,2,9.0
2012,regular,Darren Collison,PG,25,Dallas Mavericks,81,47,29.3
2012,regular,Nick Collison,C,32,Oklahoma City Thunder,81,2,19.5
2012,regular,Mike Conley,PG,25,Memphis Grizzlies,80,80,34.5
2012,regular,Will Conroy,PG,30,Minnesota Timberwolves,4,0,5.0
2012,regular,Daequan Cook,SG,25,TOT,49,1,9.0
2012,regular,Daequan Cook,SG,25,Houston Rockets,16,1,10.3
2012,regular,Daequan Cook,SG,25,Chicago Bulls,33,0,8.4
2012,regular,Chris Copeland,PF,28,New York Knicks,56,13,15.4
2012,regular,DeMarcus Cousins,C,22,Sacramento Kings,75,74,30.5
2012,regular,Jamal Crawford,SG,32,Los Angeles Clippers,76,0,29.3
2012,regular,Jordan Crawford,SG,24,TOT,70,14,24.4
2012,regular,Jordan Crawford,SG,24,Washington Wizards,43,12,26.2
2012,regular,Jordan Crawford,SG,24,Boston Celtics,27,2,21.6
2012,regular,Jae Crowder,SF,22,Dallas Mavericks,78,16,17.3
2012,regular,Dante Cunningham,PF,25,Minnesota Timberwolves,80,9,25.1
2012,regular,Jared Cunningham,SG,21,Dallas Mavericks,8,0,3.3
2012,regular,Eddy Curry,C,30,Dallas Mavericks,2,0,12.5
2012,regular,Stephen Curry,PG,24,Golden State Warriors,78,78,38.2
2012,regular,Samuel Dalembert,C,31,Milwaukee Bucks,47,23,16.3
2012,regular,Marquis Daniels,SF,32,Milwaukee Bucks,59,33,18.4
2012,regular,Anthony Davis,PF,19,New Orleans Hornets,64,60,28.8
2012,regular,Ed Davis,C-PF,23,TOT,81,28,20.1
2012,regular,Ed Davis,C,23,Toronto Raptors,45,24,24.2
2012,regular,Ed Davis,PF,23,Memphis Grizzlies,36,4,15.1
2012,regular,Glen Davis,PF,27,Orlando Magic,34,33,31.3
2012,regular,Austin Daye,SF,24,TOT,55,0,12.3
2012,regular,Austin Daye,SF,24,Detroit Pistons,24,0,14.5
2012,regular,Austin Daye,SF,24,Memphis Grizzlies,31,0,10.6
2012,regular,Nando De Colo,SG,25,San Antonio Spurs,72,6,12.8
2012,regular,Carlos Delfino,SF,30,Houston Rockets,67,5,25.2
2012,regular,Luol Deng,SF,27,Chicago Bulls,75,75,38.7
2012,regular,Justin Dentmon,PG,27,Dallas Mavericks,2,0,2.0
2012,regular,DeMar DeRozan,SG,23,Toronto Raptors,82,82,36.7
2012,regular,Boris Diaw,PF,30,San Antonio Spurs,75,20,22.8
2012,regular,DeSagana Diop,C,31,Charlotte Bobcats,22,1,10.3
2012,regular,Keyon Dooling,PG,32,Memphis Grizzlies,7,0,11.7
2012,regular,Toney Douglas,PG,26,TOT,71,0,18.2
2012,regular,Toney Douglas,PG,26,Houston Rockets,49,0,18.6
2012,regular,Toney Douglas,PG,26,Sacramento Kings,22,0,17.1
2012,regular,Chris Douglas-Roberts,SG,26,Dallas Mavericks,6,0,10.5
2012,regular,Goran Dragic,PG,26,Phoenix Suns,77,77,33.5
2012,regular,Andre Drummond,C,19,Detroit Pistons,60,10,20.7
2012,regular,Jared Dudley,SF,27,Phoenix Suns,79,50,27.5
2012,regular,Chris Duhon,PG,30,Los Angeles Lakers,46,9,17.8
2012,regular,Tim Duncan,C,36,San Antonio Spurs,69,69,30.1
2012,regular,Mike Dunleavy,SF,32,Milwaukee Bucks,75,3,25.9
2012,regular,Kevin Durant,SF,24,Oklahoma City Thunder,81,81,38.5
2012,regular,Devin Ebanks,SF,23,Los Angeles Lakers,19,3,10.4
2012,regular,Wayne Ellington,SG,25,TOT,78,21,21.3
2012,regular,Wayne Ellington,SG,25,Memphis Grizzlies,40,4,16.9
2012,regular,Wayne Ellington,SG,25,Cleveland Cavaliers,38,17,25.9
2012,regular,Monta Ellis,SG,27,Milwaukee Bucks,82,82,37.5
2012,regular,Kim English,SG,24,Detroit Pistons,41,0,9.9
2012,regular,Jeremy Evans,PF,25,Utah Jazz,37,0,5.8
2012,regular,Reggie Evans,PF,32,Brooklyn Nets,80,56,24.6
2012,regular,Tyreke Evans,SG,23,Sacramento Kings,65,61,31.0
2012,regular,Festus Ezeli,C,23,Golden State Warriors,78,41,14.4
2012,regular,Kenneth Faried,PF,23,Denver Nuggets,80,80,28.1
2012,regular,Derrick Favors,PF,21,Utah Jazz,77,8,23.2
2012,regular,Raymond Felton,PG,28,New York Knicks,68,68,34.0
2012,regular,Landry Fields,SF,24,Toronto Raptors,51,22,20.3
2012,regular,Derek Fisher,SG-PG,38,TOT,33,9,17.4
2012,regular,Derek Fisher,PG,38,Dallas Mavericks,9,9,25.4
2012,regular,Derek Fisher,SG,38,Oklahoma City Thunder,24,0,14.4
2012,regular,Evan Fournier,SG,20,Denver Nuggets,38,4,11.3
2012,regular,Randy Foye,SG,29,Utah Jazz,82,72,27.4
2012,regular,Jimmer Fredette,SG,23,Sacramento Kings,69,0,14.0
2012,regular,Enes Freedom,C,20,Utah Jazz,70,2,15.4
2012,regular,Joel Freeland,PF,25,Portland Trailblazers,51,1,9.4
2012,regular,Danilo Gallinari,SF,24,Denver Nuggets,71,71,32.5
2012,regular,Francisco Garcia,SG-SF,31,TOT,58,20,17.7
2012,regular,Francisco Garcia,SG,31,Sacramento Kings,40,15,17.8
2012,regular,Francisco Garcia,SF,31,Houston Rockets,18,5,17.7
2012,regular,Kevin Garnett,C,36,Boston Celtics,68,68,29.7
2012,regular,Diante Garrett,PG,24,Phoenix Suns,19,0,7.8
2012,regular,Marc Gasol,C,28,Memphis Grizzlies,80,80,35.0
2012,regular,Pau Gasol,PF,32,Los Angeles Lakers,49,42,33.8
2012,regular,Rudy Gay,SF,26,TOT,75,74,35.8
2012,regular,Rudy Gay,SF,26,Memphis Grizzlies,42,42,36.7
2012,regular,Rudy Gay,SF,26,Toronto Raptors,33,32,34.7
2012,regular,Alonzo Gee,SF,25,Cleveland Cavaliers,82,82,31.0
2012,regular,Mickael Gelabale,SF,29,Minnesota Timberwolves,36,13,17.9
2012,regular,Paul George,SF,22,Indiana Pacers,79,79,37.6
2012,regular,Daniel Gibson,PG,26,Cleveland Cavaliers,46,3,20.0
2012,regular,Taj Gibson,PF,27,Chicago Bulls,65,5,22.4
2012,regular,Manu Ginobili,SG,35,San Antonio Spurs,60,0,23.2
2012,regular,Drew Gooden,C,31,Milwaukee Bucks,16,0,9.4
2012,regular,Ben Gordon,SG,29,Charlotte Bobcats,75,0,20.8
2012,regular,Eric Gordon,SG,24,New Orleans Hornets,42,40,30.1
2012,regular,Marcin Gortat,C,28,Phoenix Suns,61,61,30.8
2012,regular,Andrew Goudelock,SG,24,Los Angeles Lakers,1,0,6.0
2012,regular,Danny Granger,SF,29,Indiana Pacers,5,0,14.8
2012,regular,Aaron Gray,C,28,Toronto Raptors,42,16,12.2
2012,regular,Danny Green,SG,25,San Antonio Spurs,80,80,27.5
2012,regular,Draymond Green,SF,22,Golden State Warriors,79,1,13.4
2012,regular,Gerald Green,SF,27,Indiana Pacers,60,7,18.0
2012,regular,Jeff Green,PF,26,Boston Celtics,81,17,27.8
2012,regular,Willie Green,SG,31,Los Angeles Clippers,72,60,16.5
2012,regular,Blake Griffin,PF,23,Los Angeles Clippers,80,80,32.5
2012,regular,Hamed Haddadi,C,27,TOT,30,0,10.7
2012,regular,Hamed Haddadi,C,27,Memphis Grizzlies,13,0,6.7
2012,regular,Hamed Haddadi,C,27,Phoenix Suns,17,0,13.8
2012,regular,Jordan Hamilton,SF,22,Denver Nuggets,40,1,9.9
2012,regular,Richard Hamilton,SG,34,Chicago Bulls,50,45,21.8
2012,regular,Ben Hansbrough,PG,25,Indiana Pacers,28,0,7.1
2012,regular,Tyler Hansbrough,PF,27,Indiana Pacers,81,8,16.9
2012,regular,James Harden,SG,23,Houston Rockets,78,78,38.3
2012,regular,Maurice Harkless,SF,19,Orlando Magic,76,59,26.0
2012,regular,Josh Harrellson,C,23,Miami Heat,6,0,5.2
2012,regular,Al Harrington,C,32,Orlando Magic,10,0,11.9
2012,regular,Devin Harris,SG,29,Atlanta Hawks,58,34,24.5
2012,regular,Terrel Harris,SG,25,TOT,20,0,6.9
2012,regular,Terrel Harris,SG,25,Miami Heat,7,0,4.1
2012,regular,Terrel Harris,SG,25,New Orleans Hornets,13,0,8.3
2012,regular,Tobias Harris,SF-PF,20,TOT,55,34,23.6
2012,regular,Tobias Harris,SF,20,Milwaukee Bucks,28,14,11.6
2012,regular,Tobias Harris,PF,20,Orlando Magic,27,20,36.1
2012,regular,Udonis Haslem,PF,32,Miami Heat,75,59,18.9
2012,regular,Spencer Hawes,C,24,Philadelphia 76ers,82,40,27.2
2012,regular,Chuck Hayes,C,29,Sacramento Kings,74,1,16.3
2012,regular,Gordon Hayward,SF,22,Utah Jazz,72,27,29.2
2012,regular,Lazar Hayward,SF,26,Minnesota Timberwolves,4,0,7.8
2012,regular,Brendan Haywood,C,33,Charlotte Bobcats,61,17,19.0
2012,regular,Gerald Henderson,SG,25,Charlotte Bobcats,68,58,31.4
2012,regular,Xavier Henry,SF,21,New Orleans Hornets,50,2,12.5
2012,regular,John Henson,PF,22,Milwaukee Bucks,63,9,13.1
2012,regular,Roy Hibbert,C,26,Indiana Pacers,79,79,28.7
2012,regular,J.J. Hickson,C,24,Portland Trailblazers,80,80,29.0
2012,regular,Cory Higgins,SG,23,Charlotte Bobcats,6,0,5.3
2012,regular,Nene,PF,30,Washington Wizards,61,49,27.2
2012,regular,George Hill,PG,26,Indiana Pacers,76,76,34.5
